[2339, 1609]
[folio, [827.0, 108.0, 562.0, 36.0], PVTXKXiENz, 5656805]
[folio, [216.0, 116.0, 403.0, 36.0], 3p4RkM9uNc, 5656805]
[section-title, [522.0, 225.0, 590.0, 52.5], H7GJPbQLK6, 5656805]
[author, [654.0, 303.0, 285.0, 36.0], SLWBDdgZU4, 5656805]
[author, [654.0, 339.0, 285.0, 36.0], SLWBDdgZU4, 5656805]
[contact-info, [361.0, 391.0, 984.0, 36.0], yI8jHNZ-fl, 5656805]
[contact-info, [361.0, 427.0, 984.0, 36.0], yI8jHNZ-fl, 5656805]
[contact-info, [361.0, 463.0, 984.0, 36.0], yI8jHNZ-fl, 5656805]
[contact-info, [361.0, 499.0, 984.0, 36.0], yI8jHNZ-fl, 5656805]
[contact-info, [361.0, 535.0, 984.0, 36.0], yI8jHNZ-fl, 5656805]
[contact-info, [361.0, 571.0, 984.0, 36.0], yI8jHNZ-fl, 5656805]
[sub-section-title, [739.0, 634.0, 135.0, 55.5], shoonya_6sU1ECAKSVLGH8, 5656805]
[paragraph, [140.0, 711.0, 1325.0, 36.0], shoonya_2sCT6J4C8S28NE, 5656805]
[paragraph, [140.0, 747.0, 1325.0, 36.0], shoonya_2sCT6J4C8S28NE, 5656805]
[paragraph, [140.0, 783.0, 1325.0, 36.0], shoonya_2sCT6J4C8S28NE, 5656805]
[paragraph, [140.0, 819.0, 1325.0, 36.0], shoonya_2sCT6J4C8S28NE, 5656805]
[paragraph, [140.0, 855.0, 1325.0, 36.0], shoonya_2sCT6J4C8S28NE, 5656805]
[paragraph, [140.0, 891.0, 1325.0, 36.0], shoonya_2sCT6J4C8S28NE, 5656805]
[paragraph, [141.0, 981.0, 1322.0, 36.0], shoonya_0sEVZPWMCAH6NY, 5656805]
[paragraph, [141.0, 1017.0, 1322.0, 36.0], shoonya_0sEVZPWMCAH6NY, 5656805]
[paragraph, [141.0, 1053.0, 1322.0, 36.0], shoonya_0sEVZPWMCAH6NY, 5656805]
[paragraph, [141.0, 1089.0, 1322.0, 36.0], shoonya_0sEVZPWMCAH6NY, 5656805]
[paragraph, [141.0, 1125.0, 1322.0, 36.0], shoonya_0sEVZPWMCAH6NY, 5656805]
[paragraph, [141.0, 1161.0, 1322.0, 36.0], shoonya_0sEVZPWMCAH6NY, 5656805]
[paragraph, [141.0, 1197.0, 1322.0, 36.0], shoonya_0sEVZPWMCAH6NY, 5656805]
[paragraph, [141.0, 1233.0, 1322.0, 36.0], shoonya_0sEVZPWMCAH6NY, 5656805]
[paragraph, [141.0, 1269.0, 1322.0, 36.0], shoonya_0sEVZPWMCAH6NY, 5656805]
[paragraph, [141.0, 1305.0, 1322.0, 36.0], shoonya_0sEVZPWMCAH6NY, 5656805]
[paragraph, [141.0, 1341.0, 1322.0, 36.0], shoonya_0sEVZPWMCAH6NY, 5656805]
[paragraph, [141.0, 1377.0, 1322.0, 36.0], shoonya_0sEVZPWMCAH6NY, 5656805]
[paragraph, [140.0, 1420.0, 1343.0, 36.0], shoonya_4sDN6EAMGH4O9T, 5656805]
[paragraph, [140.0, 1456.0, 1343.0, 36.0], shoonya_4sDN6EAMGH4O9T, 5656805]
[paragraph, [140.0, 1492.0, 1343.0, 36.0], shoonya_4sDN6EAMGH4O9T, 5656805]
[paragraph, [140.0, 1528.0, 1343.0, 36.0], shoonya_4sDN6EAMGH4O9T, 5656805]
[paragraph, [140.0, 1564.0, 1343.0, 36.0], shoonya_4sDN6EAMGH4O9T, 5656805]
[paragraph, [140.0, 1600.0, 1343.0, 36.0], shoonya_4sDN6EAMGH4O9T, 5656805]
[paragraph, [140.0, 1636.0, 1343.0, 36.0], shoonya_4sDN6EAMGH4O9T, 5656805]
[paragraph, [140.0, 1672.0, 1343.0, 36.0], shoonya_4sDN6EAMGH4O9T, 5656805]
[paragraph, [140.0, 1708.0, 1343.0, 36.0], shoonya_4sDN6EAMGH4O9T, 5656805]
[folio, [132.0, 2146.0, 582.0, 36.0], 9KKY9ks3Z7, 5656805]
[folio, [899.0, 2152.0, 578.0, 36.0], 5w117_AU4s, 5656805]
[folio, [899.0, 2188.0, 578.0, 36.0], 5w117_AU4s, 5656805]
