[2339, 1653]
[paragraph, [323.0, 163.0, 1137.0, 36.0], shoonya_2sOBV2Y3FHEAW8, 5733792]
[paragraph, [323.0, 199.0, 1137.0, 36.0], shoonya_2sOBV2Y3FHEAW8, 5733792]
[paragraph, [323.0, 235.0, 1137.0, 36.0], shoonya_2sOBV2Y3FHEAW8, 5733792]
[paragraph, [323.0, 271.0, 1137.0, 36.0], shoonya_2sOBV2Y3FHEAW8, 5733792]
[paragraph, [323.0, 307.0, 1137.0, 36.0], shoonya_2sOBV2Y3FHEAW8, 5733792]
[paragraph, [323.0, 343.0, 1137.0, 36.0], shoonya_2sOBV2Y3FHEAW8, 5733792]
[paragraph, [323.0, 379.0, 1137.0, 36.0], shoonya_2sOBV2Y3FHEAW8, 5733792]
[paragraph, [326.0, 443.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 479.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 515.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 551.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 587.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 623.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 659.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 695.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 731.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 767.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 803.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 839.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 875.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 911.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 947.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 983.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 1019.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 1055.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [326.0, 1091.0, 1134.0, 36.0], shoonya_1sLSTB6XOHN4SB, 5733792]
[paragraph, [323.0, 1165.0, 1136.0, 36.0], shoonya_0sQ46C9H99VXZI, 5733792]
[paragraph, [323.0, 1201.0, 1136.0, 36.0], shoonya_0sQ46C9H99VXZI, 5733792]
[paragraph, [323.0, 1237.0, 1136.0, 36.0], shoonya_0sQ46C9H99VXZI, 5733792]
[paragraph, [323.0, 1273.0, 1136.0, 36.0], shoonya_0sQ46C9H99VXZI, 5733792]
[paragraph, [323.0, 1309.0, 1136.0, 36.0], shoonya_0sQ46C9H99VXZI, 5733792]
[paragraph, [323.0, 1345.0, 1136.0, 36.0], shoonya_0sQ46C9H99VXZI, 5733792]
[paragraph, [323.0, 1381.0, 1136.0, 36.0], shoonya_0sQ46C9H99VXZI, 5733792]
[paragraph, [323.0, 1417.0, 1136.0, 36.0], shoonya_0sQ46C9H99VXZI, 5733792]
