[4210, 2977]
[paragraph, [714.0, 279.0, 669.0, 52.5], tkHvZP4LbS, 5697700]
[ordered-list, [501.0, 364.0, 1890.0, 52.5], NQJcd57yk7, 5697700]
[ordered-list, [501.0, 416.5, 1890.0, 52.5], NQJcd57yk7, 5697700]
[ordered-list, [501.0, 469.0, 1890.0, 52.5], NQJcd57yk7, 5697700]
[ordered-list, [501.0, 521.5, 1890.0, 52.5], NQJcd57yk7, 5697700]
[ordered-list, [501.0, 574.0, 1890.0, 52.5], NQJcd57yk7, 5697700]
[ordered-list, [501.0, 626.5, 1890.0, 52.5], NQJcd57yk7, 5697700]
[ordered-list, [501.0, 679.0, 1890.0, 52.5], NQJcd57yk7, 5697700]
[ordered-list, [501.0, 731.5, 1890.0, 52.5], NQJcd57yk7, 5697700]
[sub-unordered-list, [714.0, 446.0, 736.0, 18.0], lge9RsJ5i-, 5697700]
[sub-unordered-list, [714.0, 464.0, 736.0, 18.0], lge9RsJ5i-, 5697700]
[sub-unordered-list, [714.0, 482.0, 736.0, 18.0], lge9RsJ5i-, 5697700]
[sub-unordered-list, [707.0, 610.0, 1570.0, 18.0], Ys7BqhlwoK, 5697700]
[sub-unordered-list, [707.0, 628.0, 1570.0, 18.0], Ys7BqhlwoK, 5697700]
[sub-unordered-list, [707.0, 646.0, 1570.0, 18.0], Ys7BqhlwoK, 5697700]
[sub-unordered-list, [707.0, 664.0, 1570.0, 18.0], Ys7BqhlwoK, 5697700]
[sub-unordered-list, [707.0, 682.0, 1570.0, 18.0], Ys7BqhlwoK, 5697700]
[sub-unordered-list, [707.0, 700.0, 1570.0, 18.0], Ys7BqhlwoK, 5697700]
[sub-unordered-list, [707.0, 718.0, 1570.0, 18.0], Ys7BqhlwoK, 5697700]
[sub-unordered-list, [707.0, 736.0, 1570.0, 18.0], Ys7BqhlwoK, 5697700]
[ordered-list, [507.0, 948.0, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1000.5, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1053.0, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1105.5, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1158.0, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1210.5, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1263.0, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1315.5, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1368.0, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1420.5, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1473.0, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1525.5, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1578.0, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1630.5, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1683.0, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1735.5, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1788.0, 2007.0, 52.5], 97FcmZGIEi, 5697700]
[ordered-list, [507.0, 1840.5, 2007.0, 52.5], 97FcmZGIEi, 5697700]
