[1754, 1241]
[paragraph, [162.0, 106.0, 912.0, 36.0], Gx_1rv4mHv, 6476493]
[paragraph, [162.0, 142.0, 912.0, 36.0], Gx_1rv4mHv, 6476493]
[sub-section-title, [220.0, 195.0, 583.0, 36.0], _1ZnaVAzp-, 6476493]
[ordered-list, [118.0, 257.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 293.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 329.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 365.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 401.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 437.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 473.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 509.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 545.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 581.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 617.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 653.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 689.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 725.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 761.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 797.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 833.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 869.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 905.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 941.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 977.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1013.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1049.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1085.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1121.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1157.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1193.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1229.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1265.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1301.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1337.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1373.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1409.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1445.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1481.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[ordered-list, [118.0, 1517.0, 991.0, 36.0], shoonya_1sN3CIDG6Y3MRZ, 6476493]
[sub-ordered-list, [184.0, 297.0, 913.0, 36.0], shoonya_2sJAAN00UQ92AB, 6476493]
[sub-ordered-list, [184.0, 333.0, 913.0, 36.0], shoonya_2sJAAN00UQ92AB, 6476493]
[sub-ordered-list, [184.0, 369.0, 913.0, 36.0], shoonya_2sJAAN00UQ92AB, 6476493]
[sub-ordered-list, [184.0, 405.0, 913.0, 36.0], shoonya_2sJAAN00UQ92AB, 6476493]
[sub-ordered-list, [184.0, 441.0, 913.0, 36.0], shoonya_2sJAAN00UQ92AB, 6476493]
[sub-ordered-list, [184.0, 477.0, 913.0, 36.0], shoonya_2sJAAN00UQ92AB, 6476493]
[sub-ordered-list, [184.0, 513.0, 913.0, 36.0], shoonya_2sJAAN00UQ92AB, 6476493]
[sub-ordered-list, [184.0, 549.0, 913.0, 36.0], shoonya_2sJAAN00UQ92AB, 6476493]
[sub-ordered-list, [184.0, 585.0, 913.0, 36.0], shoonya_2sJAAN00UQ92AB, 6476493]
[sub-ordered-list, [184.0, 621.0, 913.0, 36.0], shoonya_2sJAAN00UQ92AB, 6476493]
[sub-ordered-list, [184.0, 657.0, 913.0, 36.0], shoonya_2sJAAN00UQ92AB, 6476493]
[sub-ordered-list, [184.0, 747.0, 912.0, 36.0], shoonya_0s1M51HJU0AN8E, 6476493]
