[1601, 1128]
[folio, [90.0, 99.0, 90.0, 36.0], shoonya_11sCVUOMFFRMV5, 6472807]
[headline, [85.0, 171.0, 962.0, 37.5], shoonya_7s97XR5Y9DX7OJ, 6472807]
[headline, [85.0, 208.5, 962.0, 37.5], shoonya_7s97XR5Y9DX7OJ, 6472807]
[headline, [85.0, 246.0, 962.0, 37.5], shoonya_7s97XR5Y9DX7OJ, 6472807]
[headline, [85.0, 283.5, 962.0, 37.5], shoonya_7s97XR5Y9DX7OJ, 6472807]
[headline, [85.0, 321.0, 962.0, 37.5], shoonya_7s97XR5Y9DX7OJ, 6472807]
[headline, [85.0, 358.5, 962.0, 37.5], shoonya_7s97XR5Y9DX7OJ, 6472807]
[paragraph, [88.0, 518.0, 311.0, 36.0], shoonya_3s8JDE72QFVO9B, 6472807]
[paragraph, [88.0, 554.0, 311.0, 36.0], shoonya_3s8JDE72QFVO9B, 6472807]
[paragraph, [88.0, 590.0, 311.0, 36.0], shoonya_3s8JDE72QFVO9B, 6472807]
[paragraph, [88.0, 626.0, 311.0, 36.0], shoonya_3s8JDE72QFVO9B, 6472807]
[paragraph, [88.0, 662.0, 311.0, 36.0], shoonya_3s8JDE72QFVO9B, 6472807]
[paragraph, [88.0, 698.0, 311.0, 36.0], shoonya_3s8JDE72QFVO9B, 6472807]
[paragraph, [416.0, 520.0, 316.0, 36.0], shoonya_2s5EIOMFLVG98Y, 6472807]
[paragraph, [416.0, 556.0, 316.0, 36.0], shoonya_2s5EIOMFLVG98Y, 6472807]
[paragraph, [416.0, 592.0, 316.0, 36.0], shoonya_2s5EIOMFLVG98Y, 6472807]
[paragraph, [416.0, 628.0, 316.0, 36.0], shoonya_2s5EIOMFLVG98Y, 6472807]
[paragraph, [416.0, 664.0, 316.0, 36.0], shoonya_2s5EIOMFLVG98Y, 6472807]
[paragraph, [416.0, 700.0, 316.0, 36.0], shoonya_2s5EIOMFLVG98Y, 6472807]
[paragraph, [416.0, 736.0, 316.0, 36.0], shoonya_2s5EIOMFLVG98Y, 6472807]
[paragraph, [416.0, 772.0, 316.0, 36.0], shoonya_2s5EIOMFLVG98Y, 6472807]
[paragraph, [416.0, 808.0, 316.0, 36.0], shoonya_2s5EIOMFLVG98Y, 6472807]
[paragraph, [416.0, 844.0, 316.0, 36.0], shoonya_2s5EIOMFLVG98Y, 6472807]
[paragraph, [416.0, 880.0, 316.0, 36.0], shoonya_2s5EIOMFLVG98Y, 6472807]
[paragraph, [745.0, 522.0, 311.0, 36.0], shoonya_6sRA4RVJBP16NJ, 6472807]
[paragraph, [745.0, 558.0, 311.0, 36.0], shoonya_6sRA4RVJBP16NJ, 6472807]
[paragraph, [745.0, 594.0, 311.0, 36.0], shoonya_6sRA4RVJBP16NJ, 6472807]
[paragraph, [745.0, 630.0, 311.0, 36.0], shoonya_6sRA4RVJBP16NJ, 6472807]
[paragraph, [745.0, 666.0, 311.0, 36.0], shoonya_6sRA4RVJBP16NJ, 6472807]
[paragraph, [745.0, 702.0, 311.0, 36.0], shoonya_6sRA4RVJBP16NJ, 6472807]
[paragraph, [745.0, 738.0, 311.0, 36.0], shoonya_6sRA4RVJBP16NJ, 6472807]
[paragraph, [745.0, 774.0, 311.0, 36.0], shoonya_6sRA4RVJBP16NJ, 6472807]
[paragraph, [745.0, 810.0, 311.0, 36.0], shoonya_6sRA4RVJBP16NJ, 6472807]
[paragraph, [745.0, 846.0, 311.0, 36.0], shoonya_6sRA4RVJBP16NJ, 6472807]
[paragraph, [745.0, 882.0, 311.0, 36.0], shoonya_6sRA4RVJBP16NJ, 6472807]
[paragraph, [90.0, 751.0, 310.0, 36.0], shoonya_5sSS3191I5VIC0, 6472807]
[paragraph, [90.0, 787.0, 310.0, 36.0], shoonya_5sSS3191I5VIC0, 6472807]
[paragraph, [90.0, 823.0, 310.0, 36.0], shoonya_5sSS3191I5VIC0, 6472807]
[paragraph, [90.0, 859.0, 310.0, 36.0], shoonya_5sSS3191I5VIC0, 6472807]
[paragraph, [90.0, 895.0, 310.0, 36.0], shoonya_5sSS3191I5VIC0, 6472807]
[paragraph, [90.0, 931.0, 310.0, 36.0], shoonya_5sSS3191I5VIC0, 6472807]
[paragraph, [90.0, 967.0, 310.0, 36.0], shoonya_5sSS3191I5VIC0, 6472807]
[paragraph, [746.0, 925.0, 310.0, 36.0], shoonya_4sYB0RDFS4C9BV, 6472807]
[paragraph, [746.0, 961.0, 310.0, 36.0], shoonya_4sYB0RDFS4C9BV, 6472807]
[paragraph, [415.0, 949.0, 309.0, 36.0], shoonya_1sPIZFFGQBGW6H, 6472807]
[figure-caption, [86.0, 1424.0, 967.0, 36.0], shoonya_13sVV8MHBTCSUD, 6472807]
