[2339, 1653]
[paragraph, [324.0, 161.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 197.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 233.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 269.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 305.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 341.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 377.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 413.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 449.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 485.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 521.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 557.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 593.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 629.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 665.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 701.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 737.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 773.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 809.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 845.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 881.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 917.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 953.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [324.0, 989.0, 1148.0, 36.0], shoonya_0sIB3AHZPITO84, 5733513]
[paragraph, [323.0, 1052.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1088.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1124.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1160.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1196.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1232.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1268.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1304.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1340.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1376.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1412.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1448.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1484.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1520.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1556.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1592.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1628.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1664.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1700.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1736.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [323.0, 1772.0, 1149.0, 36.0], shoonya_1sGNLGDDGZCLYN, 5733513]
[paragraph, [324.0, 1832.0, 1139.0, 36.0], shoonya_2sS52GOUGFNZNF, 5733513]
[paragraph, [324.0, 1868.0, 1139.0, 36.0], shoonya_2sS52GOUGFNZNF, 5733513]
[paragraph, [324.0, 1904.0, 1139.0, 36.0], shoonya_2sS52GOUGFNZNF, 5733513]
[paragraph, [324.0, 1940.0, 1139.0, 36.0], shoonya_2sS52GOUGFNZNF, 5733513]
[paragraph, [324.0, 1976.0, 1139.0, 36.0], shoonya_2sS52GOUGFNZNF, 5733513]
[paragraph, [324.0, 2012.0, 1139.0, 36.0], shoonya_2sS52GOUGFNZNF, 5733513]
[paragraph, [324.0, 2048.0, 1139.0, 36.0], shoonya_2sS52GOUGFNZNF, 5733513]
[folio, [815.0, 2159.0, 567.0, 36.0], -508Sct6m7, 5733513]
