[1818, 1374]
[folio, [474.0, 151.0, 429.0, 36.0], shoonya_6sRG3OHTXR16QL, 5682574]
[paragraph, [108.0, 225.0, 575.0, 36.0], hm6qFlb-hi, 5682574]
[paragraph, [108.0, 261.0, 575.0, 36.0], hm6qFlb-hi, 5682574]
[paragraph, [108.0, 297.0, 575.0, 36.0], hm6qFlb-hi, 5682574]
[paragraph, [108.0, 333.0, 575.0, 36.0], hm6qFlb-hi, 5682574]
[paragraph, [108.0, 369.0, 575.0, 36.0], hm6qFlb-hi, 5682574]
[paragraph, [709.0, 226.0, 549.0, 36.0], hLTwtNA2s3, 5682574]
[paragraph, [709.0, 262.0, 549.0, 36.0], hLTwtNA2s3, 5682574]
[paragraph, [702.0, 309.0, 561.0, 36.0], 5xFyDrK5rX, 5682574]
[paragraph, [702.0, 345.0, 561.0, 36.0], 5xFyDrK5rX, 5682574]
[paragraph, [702.0, 381.0, 561.0, 36.0], 5xFyDrK5rX, 5682574]
[paragraph, [702.0, 417.0, 561.0, 36.0], 5xFyDrK5rX, 5682574]
[paragraph, [702.0, 453.0, 561.0, 36.0], 5xFyDrK5rX, 5682574]
[paragraph, [702.0, 489.0, 561.0, 36.0], 5xFyDrK5rX, 5682574]
[paragraph, [702.0, 525.0, 561.0, 36.0], 5xFyDrK5rX, 5682574]
[paragraph, [702.0, 561.0, 561.0, 36.0], 5xFyDrK5rX, 5682574]
[paragraph, [702.0, 597.0, 561.0, 36.0], 5xFyDrK5rX, 5682574]
[paragraph, [702.0, 633.0, 561.0, 36.0], 5xFyDrK5rX, 5682574]
[paragraph, [702.0, 669.0, 561.0, 36.0], 5xFyDrK5rX, 5682574]
[paragraph, [702.0, 705.0, 561.0, 36.0], 5xFyDrK5rX, 5682574]
[paragraph, [109.0, 476.0, 573.0, 36.0], lBJk_alcD-, 5682574]
[paragraph, [109.0, 512.0, 573.0, 36.0], lBJk_alcD-, 5682574]
[paragraph, [109.0, 548.0, 573.0, 36.0], lBJk_alcD-, 5682574]
[paragraph, [147.0, 603.0, 424.0, 36.0], Az1yNZ40E8, 5682574]
[paragraph, [111.0, 644.0, 571.0, 36.0], qzYnIHaJvh, 5682574]
[paragraph, [111.0, 680.0, 571.0, 36.0], qzYnIHaJvh, 5682574]
[paragraph, [111.0, 716.0, 571.0, 36.0], qzYnIHaJvh, 5682574]
[paragraph, [113.0, 769.0, 570.0, 36.0], 3BRw31BpA-, 5682574]
[paragraph, [113.0, 805.0, 570.0, 36.0], 3BRw31BpA-, 5682574]
[paragraph, [113.0, 841.0, 570.0, 36.0], 3BRw31BpA-, 5682574]
[paragraph, [113.0, 877.0, 570.0, 36.0], 3BRw31BpA-, 5682574]
[paragraph, [113.0, 913.0, 570.0, 36.0], 3BRw31BpA-, 5682574]
[paragraph, [113.0, 949.0, 570.0, 36.0], 3BRw31BpA-, 5682574]
[paragraph, [709.0, 884.0, 558.0, 36.0], shoonya_4sNKB7BVVIELM7, 5682574]
[paragraph, [709.0, 920.0, 558.0, 36.0], shoonya_4sNKB7BVVIELM7, 5682574]
[paragraph, [709.0, 956.0, 558.0, 36.0], shoonya_4sNKB7BVVIELM7, 5682574]
[paragraph, [709.0, 992.0, 558.0, 36.0], shoonya_4sNKB7BVVIELM7, 5682574]
[paragraph, [709.0, 1028.0, 558.0, 36.0], shoonya_4sNKB7BVVIELM7, 5682574]
