[1755, 1241]
[folio, [141.0, 170.0, 437.0, 36.0], bvWvdYkmZS, 5705351]
[paragraph, [176.0, 316.0, 431.0, 36.0], shoonya_13s10L4O03NFVO, 5705351]
[paragraph, [176.0, 352.0, 431.0, 36.0], shoonya_13s10L4O03NFVO, 5705351]
[paragraph, [176.0, 388.0, 431.0, 36.0], shoonya_13s10L4O03NFVO, 5705351]
[paragraph, [634.0, 316.0, 430.0, 36.0], shoonya_10sFTJ5FDS9DXM, 5705351]
[paragraph, [634.0, 352.0, 430.0, 36.0], shoonya_10sFTJ5FDS9DXM, 5705351]
[paragraph, [634.0, 388.0, 430.0, 36.0], shoonya_10sFTJ5FDS9DXM, 5705351]
[paragraph, [634.0, 424.0, 430.0, 36.0], shoonya_10sFTJ5FDS9DXM, 5705351]
[paragraph, [634.0, 460.0, 430.0, 36.0], shoonya_10sFTJ5FDS9DXM, 5705351]
[paragraph, [634.0, 496.0, 430.0, 36.0], shoonya_10sFTJ5FDS9DXM, 5705351]
[paragraph, [634.0, 532.0, 430.0, 36.0], shoonya_10sFTJ5FDS9DXM, 5705351]
[paragraph, [177.0, 432.0, 430.0, 36.0], shoonya_5s49JZJ9RURO7O, 5705351]
[paragraph, [177.0, 468.0, 430.0, 36.0], shoonya_5s49JZJ9RURO7O, 5705351]
[paragraph, [177.0, 504.0, 430.0, 36.0], shoonya_5s49JZJ9RURO7O, 5705351]
[paragraph, [177.0, 540.0, 430.0, 36.0], shoonya_5s49JZJ9RURO7O, 5705351]
[paragraph, [634.0, 572.0, 428.0, 36.0], shoonya_4sLTQUIQ3WDWZD, 5705351]
[paragraph, [634.0, 608.0, 428.0, 36.0], shoonya_4sLTQUIQ3WDWZD, 5705351]
[paragraph, [634.0, 644.0, 428.0, 36.0], shoonya_4sLTQUIQ3WDWZD, 5705351]
[paragraph, [634.0, 680.0, 428.0, 36.0], shoonya_4sLTQUIQ3WDWZD, 5705351]
[paragraph, [178.0, 578.0, 430.0, 36.0], shoonya_8sA89A8Q536C1H, 5705351]
[paragraph, [178.0, 614.0, 430.0, 36.0], shoonya_8sA89A8Q536C1H, 5705351]
[paragraph, [177.0, 663.0, 432.0, 36.0], shoonya_0s1GLJUNY0SOWU, 5705351]
[paragraph, [177.0, 699.0, 432.0, 36.0], shoonya_0s1GLJUNY0SOWU, 5705351]
[paragraph, [177.0, 735.0, 432.0, 36.0], shoonya_0s1GLJUNY0SOWU, 5705351]
[paragraph, [177.0, 771.0, 432.0, 36.0], shoonya_0s1GLJUNY0SOWU, 5705351]
[paragraph, [177.0, 807.0, 432.0, 36.0], shoonya_0s1GLJUNY0SOWU, 5705351]
[paragraph, [177.0, 843.0, 432.0, 36.0], shoonya_0s1GLJUNY0SOWU, 5705351]
[paragraph, [177.0, 879.0, 432.0, 36.0], shoonya_0s1GLJUNY0SOWU, 5705351]
[paragraph, [177.0, 915.0, 432.0, 36.0], shoonya_0s1GLJUNY0SOWU, 5705351]
[paragraph, [177.0, 951.0, 432.0, 36.0], shoonya_0s1GLJUNY0SOWU, 5705351]
[paragraph, [177.0, 987.0, 432.0, 36.0], shoonya_0s1GLJUNY0SOWU, 5705351]
[paragraph, [177.0, 1023.0, 432.0, 36.0], shoonya_0s1GLJUNY0SOWU, 5705351]
[paragraph, [634.0, 717.0, 429.0, 36.0], shoonya_1sYZ9G2ZJPER82, 5705351]
[paragraph, [634.0, 753.0, 429.0, 36.0], shoonya_1sYZ9G2ZJPER82, 5705351]
[paragraph, [634.0, 789.0, 429.0, 36.0], shoonya_1sYZ9G2ZJPER82, 5705351]
[paragraph, [634.0, 825.0, 429.0, 36.0], shoonya_1sYZ9G2ZJPER82, 5705351]
[paragraph, [634.0, 861.0, 429.0, 36.0], shoonya_1sYZ9G2ZJPER82, 5705351]
[paragraph, [634.0, 897.0, 429.0, 36.0], shoonya_1sYZ9G2ZJPER82, 5705351]
[paragraph, [634.0, 933.0, 429.0, 36.0], shoonya_1sYZ9G2ZJPER82, 5705351]
[paragraph, [634.0, 977.0, 428.0, 36.0], shoonya_3sQI1WEO816BMR, 5705351]
[paragraph, [634.0, 1013.0, 428.0, 36.0], shoonya_3sQI1WEO816BMR, 5705351]
[paragraph, [634.0, 1049.0, 428.0, 36.0], shoonya_3sQI1WEO816BMR, 5705351]
[paragraph, [634.0, 1085.0, 428.0, 36.0], shoonya_3sQI1WEO816BMR, 5705351]
[paragraph, [177.0, 1088.0, 430.0, 36.0], shoonya_2sS8WXL64RA3LW, 5705351]
