[792, 612]
[chapter-title, [62.0, 64.0, 91.0, 30.0], 3ZyU-GJj5t, 5654326]
[chapter-title, [62.0, 94.0, 91.0, 30.0], 3ZyU-GJj5t, 5654326]
[paragraph, [187.0, 77.0, 344.0, 18.0], shoonya_0sMS6RBXQ8Y0OE, 5654326]
[paragraph, [187.0, 95.0, 344.0, 18.0], shoonya_0sMS6RBXQ8Y0OE, 5654326]
[paragraph, [187.0, 113.0, 344.0, 18.0], shoonya_0sMS6RBXQ8Y0OE, 5654326]
[paragraph, [187.0, 131.0, 344.0, 18.0], shoonya_0sMS6RBXQ8Y0OE, 5654326]
[paragraph, [187.0, 149.0, 344.0, 18.0], shoonya_0sMS6RBXQ8Y0OE, 5654326]
[paragraph, [187.0, 167.0, 344.0, 18.0], shoonya_0sMS6RBXQ8Y0OE, 5654326]
[paragraph, [187.0, 185.0, 344.0, 18.0], shoonya_0sMS6RBXQ8Y0OE, 5654326]
[paragraph, [187.0, 203.0, 344.0, 18.0], shoonya_0sMS6RBXQ8Y0OE, 5654326]
[paragraph, [187.0, 221.0, 344.0, 18.0], shoonya_0sMS6RBXQ8Y0OE, 5654326]
[paragraph, [187.0, 239.0, 344.0, 18.0], shoonya_0sMS6RBXQ8Y0OE, 5654326]
[paragraph, [187.0, 257.0, 344.0, 18.0], shoonya_0sMS6RBXQ8Y0OE, 5654326]
[paragraph, [187.0, 275.0, 344.0, 18.0], shoonya_0sMS6RBXQ8Y0OE, 5654326]
[contact-info, [66.0, 149.0, 98.0, 18.0], ymteKqiza4, 5654326]
[contact-info, [66.0, 167.0, 98.0, 18.0], ymteKqiza4, 5654326]
