[1006, 612]
[chapter-title, [260.0, 169.0, 73.0, 30.0], shoonya_2sB5TIK1F5V75M, 6459337]
[paragraph, [90.0, 219.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 237.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 255.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 273.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 291.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 309.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 327.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 345.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 363.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 381.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 399.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 417.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 435.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 453.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 471.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 489.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 507.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 525.0, 433.0, 18.0], shoonya_0sNFT0P4OP0JBM, 6459337]
[paragraph, [90.0, 553.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 571.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 589.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 607.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 625.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 643.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 661.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 679.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 697.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 715.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 733.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 751.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 769.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 787.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 805.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 823.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 841.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 859.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
[paragraph, [90.0, 877.0, 432.0, 18.0], shoonya_1sNQS665OJ3NYU, 6459337]
