[2022, 1433]
[paragraph, [214.0, 163.0, 1088.0, 36.0], shoonya_3s3152OFJHCMN9, 5651902]
[paragraph, [214.0, 199.0, 1088.0, 36.0], shoonya_3s3152OFJHCMN9, 5651902]
[paragraph, [214.0, 235.0, 1088.0, 36.0], shoonya_3s3152OFJHCMN9, 5651902]
[section-title, [211.0, 326.0, 846.0, 52.5], shoonya_4sAXH00NR4PZZT, 5651902]
[paragraph, [212.0, 425.0, 1096.0, 36.0], shoonya_1sKM5NE0U004KT, 5651902]
[paragraph, [212.0, 461.0, 1096.0, 36.0], shoonya_1sKM5NE0U004KT, 5651902]
[paragraph, [212.0, 497.0, 1096.0, 36.0], shoonya_1sKM5NE0U004KT, 5651902]
[paragraph, [212.0, 533.0, 1096.0, 36.0], shoonya_1sKM5NE0U004KT, 5651902]
[paragraph, [212.0, 569.0, 1096.0, 36.0], shoonya_1sKM5NE0U004KT, 5651902]
[paragraph, [212.0, 605.0, 1096.0, 36.0], shoonya_1sKM5NE0U004KT, 5651902]
[paragraph, [212.0, 641.0, 1096.0, 36.0], shoonya_1sKM5NE0U004KT, 5651902]
[paragraph, [212.0, 677.0, 1096.0, 36.0], shoonya_1sKM5NE0U004KT, 5651902]
[paragraph, [212.0, 713.0, 1096.0, 36.0], shoonya_1sKM5NE0U004KT, 5651902]
[paragraph, [212.0, 749.0, 1096.0, 36.0], shoonya_1sKM5NE0U004KT, 5651902]
[paragraph, [206.0, 848.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 884.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 920.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 956.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 992.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1028.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1064.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1100.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1136.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1172.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1208.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1244.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1280.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1316.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1352.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1388.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1424.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1460.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1496.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1532.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1568.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1604.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1640.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1676.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[paragraph, [206.0, 1712.0, 1086.0, 36.0], shoonya_0sHSJM1HVKF8BO, 5651902]
[footnote, [211.0, 1812.0, 1088.0, 36.0], f_d8VydaUK, 5651902]
[footnote, [211.0, 1848.0, 1088.0, 36.0], f_d8VydaUK, 5651902]
[footnote, [211.0, 1884.0, 1088.0, 36.0], f_d8VydaUK, 5651902]
[footnote, [211.0, 1920.0, 1088.0, 36.0], f_d8VydaUK, 5651902]
