[2339, 1656]
[paragraph, [850.0, 97.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 133.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 169.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 205.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 241.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 277.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 313.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 349.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 385.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 421.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 457.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 493.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 529.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 565.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 601.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 637.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 673.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 709.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 745.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
[paragraph, [850.0, 781.0, 728.0, 36.0], shoonya_0sSMPL562AWTIL, 5749335]
