[1725, 1313]
[paragraph, [116.0, 140.0, 536.0, 36.0], shoonya_8sO27X47LJUM8B, 5771927]
[paragraph, [116.0, 176.0, 536.0, 36.0], shoonya_8sO27X47LJUM8B, 5771927]
[paragraph, [116.0, 212.0, 536.0, 36.0], shoonya_8sO27X47LJUM8B, 5771927]
[paragraph, [116.0, 248.0, 536.0, 36.0], shoonya_8sO27X47LJUM8B, 5771927]
[paragraph, [658.0, 141.0, 537.0, 36.0], shoonya_0sT9X59YE2O40M, 5771927]
[paragraph, [658.0, 177.0, 537.0, 36.0], shoonya_0sT9X59YE2O40M, 5771927]
[paragraph, [658.0, 213.0, 537.0, 36.0], shoonya_0sT9X59YE2O40M, 5771927]
[paragraph, [658.0, 249.0, 537.0, 36.0], shoonya_0sT9X59YE2O40M, 5771927]
[paragraph, [658.0, 285.0, 537.0, 36.0], shoonya_0sT9X59YE2O40M, 5771927]
[paragraph, [658.0, 321.0, 537.0, 36.0], shoonya_0sT9X59YE2O40M, 5771927]
[paragraph, [658.0, 357.0, 537.0, 36.0], shoonya_0sT9X59YE2O40M, 5771927]
[paragraph, [658.0, 393.0, 537.0, 36.0], shoonya_0sT9X59YE2O40M, 5771927]
[paragraph, [658.0, 429.0, 537.0, 36.0], shoonya_0sT9X59YE2O40M, 5771927]
[paragraph, [658.0, 465.0, 537.0, 36.0], shoonya_0sT9X59YE2O40M, 5771927]
[paragraph, [115.0, 306.0, 539.0, 36.0], IiOAPR1Kd-, 5771927]
[paragraph, [115.0, 342.0, 539.0, 36.0], IiOAPR1Kd-, 5771927]
[paragraph, [115.0, 378.0, 539.0, 36.0], IiOAPR1Kd-, 5771927]
[paragraph, [115.0, 414.0, 539.0, 36.0], IiOAPR1Kd-, 5771927]
[paragraph, [115.0, 450.0, 539.0, 36.0], IiOAPR1Kd-, 5771927]
[paragraph, [115.0, 486.0, 539.0, 36.0], IiOAPR1Kd-, 5771927]
[paragraph, [115.0, 522.0, 539.0, 36.0], IiOAPR1Kd-, 5771927]
[paragraph, [115.0, 558.0, 539.0, 36.0], IiOAPR1Kd-, 5771927]
[paragraph, [115.0, 594.0, 539.0, 36.0], IiOAPR1Kd-, 5771927]
[paragraph, [115.0, 630.0, 539.0, 36.0], IiOAPR1Kd-, 5771927]
[paragraph, [656.0, 507.0, 539.0, 36.0], shoonya_1s0YBGRAF76TT6, 5771927]
[paragraph, [656.0, 543.0, 539.0, 36.0], shoonya_1s0YBGRAF76TT6, 5771927]
[paragraph, [656.0, 579.0, 539.0, 36.0], shoonya_1s0YBGRAF76TT6, 5771927]
[paragraph, [657.0, 639.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [657.0, 675.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [657.0, 711.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [657.0, 747.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [657.0, 783.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [657.0, 819.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [657.0, 855.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [657.0, 891.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [657.0, 927.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [657.0, 963.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [657.0, 999.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [657.0, 1035.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [657.0, 1071.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [657.0, 1107.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [657.0, 1143.0, 537.0, 36.0], shoonya_2sR64PTYF87QEA, 5771927]
[paragraph, [116.0, 678.0, 538.0, 36.0], shoonya_12sTYEAL2122JV, 5771927]
[paragraph, [116.0, 714.0, 538.0, 36.0], shoonya_12sTYEAL2122JV, 5771927]
[paragraph, [116.0, 750.0, 538.0, 36.0], shoonya_12sTYEAL2122JV, 5771927]
[paragraph, [116.0, 786.0, 538.0, 36.0], shoonya_12sTYEAL2122JV, 5771927]
[paragraph, [115.0, 843.0, 538.0, 36.0], shoonya_13sVG6NZMN8IV7, 5771927]
[paragraph, [116.0, 911.0, 537.0, 36.0], shoonya_3sDOMW8T7QOIY4, 5771927]
[paragraph, [116.0, 947.0, 537.0, 36.0], shoonya_3sDOMW8T7QOIY4, 5771927]
[paragraph, [116.0, 983.0, 537.0, 36.0], shoonya_3sDOMW8T7QOIY4, 5771927]
[paragraph, [116.0, 1019.0, 537.0, 36.0], shoonya_3sDOMW8T7QOIY4, 5771927]
[paragraph, [116.0, 1055.0, 537.0, 36.0], shoonya_3sDOMW8T7QOIY4, 5771927]
[paragraph, [116.0, 1091.0, 537.0, 36.0], shoonya_3sDOMW8T7QOIY4, 5771927]
[paragraph, [116.0, 1127.0, 537.0, 36.0], shoonya_3sDOMW8T7QOIY4, 5771927]
[paragraph, [116.0, 1163.0, 537.0, 36.0], shoonya_3sDOMW8T7QOIY4, 5771927]
[paragraph, [116.0, 1199.0, 537.0, 36.0], shoonya_3sDOMW8T7QOIY4, 5771927]
[paragraph, [116.0, 1235.0, 537.0, 36.0], shoonya_3sDOMW8T7QOIY4, 5771927]
[paragraph, [660.0, 1178.0, 535.0, 36.0], shoonya_5sZNZKONQ23LJC, 5771927]
[paragraph, [660.0, 1214.0, 535.0, 36.0], shoonya_5sZNZKONQ23LJC, 5771927]
[paragraph, [660.0, 1250.0, 535.0, 36.0], shoonya_5sZNZKONQ23LJC, 5771927]
[paragraph, [118.0, 1280.0, 536.0, 36.0], shoonya_7sR1EIMIQCPFHJ, 5771927]
[paragraph, [681.0, 1313.0, 514.0, 36.0], 3u5QApnvCI, 5771927]
[paragraph, [349.0, 1383.0, 600.0, 36.0], shoonya_9s0I1ZSBLQ3OHP, 5771927]
[paragraph, [406.0, 1433.0, 502.0, 36.0], shoonya_10sYLI8E049SHX, 5771927]
[paragraph, [453.0, 1484.0, 366.0, 36.0], shoonya_14sOA1B7EX5OJV, 5771927]
[folio, [557.0, 1576.0, 164.0, 36.0], g_eTrMJm_A, 5771927]
[folio, [69.0, 1676.0, 303.0, 36.0], shoonya_4s9RJM3KJN1XY4, 5771927]
