[1754, 1241]
[folio, [904.0, 113.0, 190.0, 36.0], kVju_qf4n-, 5747297]
[section-title, [145.0, 169.0, 947.0, 49.5], KdBckjalPw, 5747297]
[paragraph, [139.0, 238.0, 969.0, 36.0], shoonya_1sF1Q0DKK8QA09, 5747297]
[paragraph, [139.0, 274.0, 969.0, 36.0], shoonya_1sF1Q0DKK8QA09, 5747297]
[paragraph, [133.0, 338.0, 597.0, 36.0], Pa2LWREotn, 5747297]
[paragraph, [133.0, 374.0, 597.0, 36.0], Pa2LWREotn, 5747297]
[paragraph, [133.0, 410.0, 597.0, 36.0], Pa2LWREotn, 5747297]
[paragraph, [133.0, 446.0, 597.0, 36.0], Pa2LWREotn, 5747297]
[paragraph, [133.0, 482.0, 597.0, 36.0], Pa2LWREotn, 5747297]
[paragraph, [133.0, 518.0, 597.0, 36.0], Pa2LWREotn, 5747297]
[paragraph, [133.0, 554.0, 597.0, 36.0], Pa2LWREotn, 5747297]
[paragraph, [133.0, 590.0, 597.0, 36.0], Pa2LWREotn, 5747297]
[paragraph, [133.0, 626.0, 597.0, 36.0], Pa2LWREotn, 5747297]
[paragraph, [133.0, 662.0, 597.0, 36.0], Pa2LWREotn, 5747297]
[paragraph, [133.0, 698.0, 597.0, 36.0], Pa2LWREotn, 5747297]
[paragraph, [134.0, 761.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 797.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 833.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 869.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 905.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 941.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 977.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 1013.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 1049.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 1085.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 1121.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 1157.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 1193.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 1229.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 1265.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [134.0, 1301.0, 966.0, 36.0], f5RbU2zDGG, 5747297]
[paragraph, [139.0, 1364.0, 957.0, 36.0], 92cAtbMqwN, 5747297]
[paragraph, [139.0, 1400.0, 957.0, 36.0], 92cAtbMqwN, 5747297]
[paragraph, [139.0, 1436.0, 957.0, 36.0], 92cAtbMqwN, 5747297]
[paragraph, [139.0, 1472.0, 957.0, 36.0], 92cAtbMqwN, 5747297]
