[1754, 1241]
[unordered-list, [217.0, 169.0, 375.0, 36.0], shoonya_0sT4RWT2GOLCUY, 6469549]
[unordered-list, [217.0, 205.0, 375.0, 36.0], shoonya_0sT4RWT2GOLCUY, 6469549]
[unordered-list, [217.0, 241.0, 375.0, 36.0], shoonya_0sT4RWT2GOLCUY, 6469549]
[unordered-list, [217.0, 277.0, 375.0, 36.0], shoonya_0sT4RWT2GOLCUY, 6469549]
[unordered-list, [217.0, 313.0, 375.0, 36.0], shoonya_0sT4RWT2GOLCUY, 6469549]
[unordered-list, [217.0, 349.0, 375.0, 36.0], shoonya_0sT4RWT2GOLCUY, 6469549]
[unordered-list, [217.0, 385.0, 375.0, 36.0], shoonya_0sT4RWT2GOLCUY, 6469549]
[unordered-list, [217.0, 421.0, 375.0, 36.0], shoonya_0sT4RWT2GOLCUY, 6469549]
[unordered-list, [217.0, 457.0, 375.0, 36.0], shoonya_0sT4RWT2GOLCUY, 6469549]
[unordered-list, [217.0, 493.0, 375.0, 36.0], shoonya_0sT4RWT2GOLCUY, 6469549]
[unordered-list, [217.0, 529.0, 375.0, 36.0], shoonya_0sT4RWT2GOLCUY, 6469549]
[unordered-list, [220.0, 629.0, 238.0, 36.0], shoonya_5sMHQCX6U8SO9E, 6469549]
[section-title, [216.0, 734.0, 244.0, 49.5], Igg1MT4qAh, 6469549]
[unordered-list, [216.0, 826.0, 377.0, 36.0], shoonya_3s29J21ALCGJOM, 6469549]
[unordered-list, [216.0, 862.0, 377.0, 36.0], shoonya_3s29J21ALCGJOM, 6469549]
[unordered-list, [216.0, 898.0, 377.0, 36.0], shoonya_3s29J21ALCGJOM, 6469549]
[unordered-list, [216.0, 934.0, 377.0, 36.0], shoonya_3s29J21ALCGJOM, 6469549]
[unordered-list, [216.0, 970.0, 377.0, 36.0], shoonya_3s29J21ALCGJOM, 6469549]
[unordered-list, [216.0, 1006.0, 377.0, 36.0], shoonya_3s29J21ALCGJOM, 6469549]
[unordered-list, [216.0, 1042.0, 377.0, 36.0], shoonya_3s29J21ALCGJOM, 6469549]
[unordered-list, [216.0, 1078.0, 377.0, 36.0], shoonya_3s29J21ALCGJOM, 6469549]
[unordered-list, [216.0, 1114.0, 377.0, 36.0], shoonya_3s29J21ALCGJOM, 6469549]
[unordered-list, [216.0, 1150.0, 377.0, 36.0], shoonya_3s29J21ALCGJOM, 6469549]
[unordered-list, [216.0, 1186.0, 377.0, 36.0], shoonya_3s29J21ALCGJOM, 6469549]
[unordered-list, [216.0, 1222.0, 377.0, 36.0], shoonya_3s29J21ALCGJOM, 6469549]
[paragraph, [215.0, 1305.0, 838.0, 36.0], shoonya_1sDT8W2WGW42N4, 6469549]
[paragraph, [215.0, 1341.0, 838.0, 36.0], shoonya_1sDT8W2WGW42N4, 6469549]
[paragraph, [215.0, 1377.0, 838.0, 36.0], shoonya_1sDT8W2WGW42N4, 6469549]
[paragraph, [215.0, 1413.0, 838.0, 36.0], shoonya_1sDT8W2WGW42N4, 6469549]
[paragraph, [215.0, 1449.0, 838.0, 36.0], shoonya_1sDT8W2WGW42N4, 6469549]
