[2250, 1750]
[paragraph, [92.0, 98.0, 711.0, 36.0], shoonya_19sP34521XTJ2F, 5752941]
[paragraph, [92.0, 134.0, 711.0, 36.0], shoonya_19sP34521XTJ2F, 5752941]
[paragraph, [92.0, 170.0, 711.0, 36.0], shoonya_19sP34521XTJ2F, 5752941]
[paragraph, [92.0, 206.0, 711.0, 36.0], shoonya_19sP34521XTJ2F, 5752941]
[paragraph, [92.0, 242.0, 711.0, 36.0], shoonya_19sP34521XTJ2F, 5752941]
[paragraph, [92.0, 278.0, 711.0, 36.0], shoonya_19sP34521XTJ2F, 5752941]
[paragraph, [92.0, 314.0, 711.0, 36.0], shoonya_19sP34521XTJ2F, 5752941]
[paragraph, [886.0, 99.0, 713.0, 36.0], shoonya_14s5K3YJM5ORZ9, 5752941]
[paragraph, [886.0, 135.0, 713.0, 36.0], shoonya_14s5K3YJM5ORZ9, 5752941]
[paragraph, [886.0, 193.0, 709.0, 36.0], shoonya_7sG8MP4RO75UMO, 5752941]
[paragraph, [886.0, 229.0, 709.0, 36.0], shoonya_7sG8MP4RO75UMO, 5752941]
[paragraph, [886.0, 265.0, 709.0, 36.0], shoonya_7sG8MP4RO75UMO, 5752941]
[paragraph, [886.0, 301.0, 709.0, 36.0], shoonya_7sG8MP4RO75UMO, 5752941]
[paragraph, [886.0, 337.0, 709.0, 36.0], shoonya_7sG8MP4RO75UMO, 5752941]
[paragraph, [886.0, 373.0, 709.0, 36.0], shoonya_7sG8MP4RO75UMO, 5752941]
[paragraph, [886.0, 409.0, 709.0, 36.0], shoonya_7sG8MP4RO75UMO, 5752941]
[paragraph, [886.0, 445.0, 709.0, 36.0], shoonya_7sG8MP4RO75UMO, 5752941]
[paragraph, [84.0, 408.0, 728.0, 36.0], shoonya_0sF1BMPR4I7FOV, 5752941]
[paragraph, [84.0, 444.0, 728.0, 36.0], shoonya_0sF1BMPR4I7FOV, 5752941]
[paragraph, [84.0, 480.0, 728.0, 36.0], shoonya_0sF1BMPR4I7FOV, 5752941]
[paragraph, [84.0, 516.0, 728.0, 36.0], shoonya_0sF1BMPR4I7FOV, 5752941]
[paragraph, [84.0, 552.0, 728.0, 36.0], shoonya_0sF1BMPR4I7FOV, 5752941]
[paragraph, [84.0, 588.0, 728.0, 36.0], shoonya_0sF1BMPR4I7FOV, 5752941]
[paragraph, [84.0, 624.0, 728.0, 36.0], shoonya_0sF1BMPR4I7FOV, 5752941]
[paragraph, [84.0, 660.0, 728.0, 36.0], shoonya_0sF1BMPR4I7FOV, 5752941]
[paragraph, [84.0, 696.0, 728.0, 36.0], shoonya_0sF1BMPR4I7FOV, 5752941]
[paragraph, [84.0, 732.0, 728.0, 36.0], shoonya_0sF1BMPR4I7FOV, 5752941]
[paragraph, [84.0, 768.0, 728.0, 36.0], shoonya_0sF1BMPR4I7FOV, 5752941]
[paragraph, [888.0, 506.0, 707.0, 36.0], shoonya_11sZILJ9IH5JPK, 5752941]
[paragraph, [888.0, 542.0, 707.0, 36.0], shoonya_11sZILJ9IH5JPK, 5752941]
[paragraph, [888.0, 578.0, 707.0, 36.0], shoonya_11sZILJ9IH5JPK, 5752941]
[paragraph, [886.0, 639.0, 709.0, 36.0], shoonya_1sIT7UTE91BDQ9, 5752941]
[paragraph, [886.0, 675.0, 709.0, 36.0], shoonya_1sIT7UTE91BDQ9, 5752941]
[paragraph, [886.0, 711.0, 709.0, 36.0], shoonya_1sIT7UTE91BDQ9, 5752941]
[paragraph, [886.0, 747.0, 709.0, 36.0], shoonya_1sIT7UTE91BDQ9, 5752941]
[paragraph, [886.0, 783.0, 709.0, 36.0], shoonya_1sIT7UTE91BDQ9, 5752941]
[paragraph, [886.0, 819.0, 709.0, 36.0], shoonya_1sIT7UTE91BDQ9, 5752941]
[paragraph, [886.0, 855.0, 709.0, 36.0], shoonya_1sIT7UTE91BDQ9, 5752941]
[paragraph, [886.0, 891.0, 709.0, 36.0], shoonya_1sIT7UTE91BDQ9, 5752941]
[paragraph, [173.0, 813.0, 539.0, 36.0], _fRiX8WWWJ, 5752941]
[paragraph, [98.0, 859.0, 714.0, 36.0], cVazXGq1M1, 5752941]
[paragraph, [98.0, 895.0, 714.0, 36.0], cVazXGq1M1, 5752941]
[paragraph, [175.0, 945.0, 287.0, 36.0], QhCUI4I6oG, 5752941]
[paragraph, [988.0, 949.0, 441.0, 36.0], shoonya_16sJD6TN9LT2CD, 5752941]
[paragraph, [173.0, 991.0, 287.0, 36.0], iAdgKCXLXa, 5752941]
[paragraph, [883.0, 996.0, 713.0, 36.0], shoonya_2sTWK5OZJ0GLX6, 5752941]
[paragraph, [883.0, 1032.0, 713.0, 36.0], shoonya_2sTWK5OZJ0GLX6, 5752941]
[paragraph, [883.0, 1068.0, 713.0, 36.0], shoonya_2sTWK5OZJ0GLX6, 5752941]
[paragraph, [883.0, 1104.0, 713.0, 36.0], shoonya_2sTWK5OZJ0GLX6, 5752941]
[paragraph, [883.0, 1140.0, 713.0, 36.0], shoonya_2sTWK5OZJ0GLX6, 5752941]
[paragraph, [883.0, 1176.0, 713.0, 36.0], shoonya_2sTWK5OZJ0GLX6, 5752941]
[paragraph, [173.0, 1037.0, 546.0, 36.0], nCPVCSDwLr, 5752941]
[paragraph, [179.0, 1078.0, 379.0, 36.0], 05C9LTHeAS, 5752941]
[paragraph, [81.0, 1122.0, 725.0, 36.0], GSoInAgomD, 5752941]
[paragraph, [81.0, 1158.0, 725.0, 36.0], GSoInAgomD, 5752941]
[paragraph, [81.0, 1194.0, 725.0, 36.0], GSoInAgomD, 5752941]
[paragraph, [886.0, 1217.0, 710.0, 36.0], shoonya_5sEAZ6103DLIWA, 5752941]
[paragraph, [886.0, 1253.0, 710.0, 36.0], shoonya_5sEAZ6103DLIWA, 5752941]
[paragraph, [886.0, 1289.0, 710.0, 36.0], shoonya_5sEAZ6103DLIWA, 5752941]
[paragraph, [886.0, 1325.0, 710.0, 36.0], shoonya_5sEAZ6103DLIWA, 5752941]
[paragraph, [70.0, 1258.0, 743.0, 36.0], C4VqBDCKEn, 5752941]
[paragraph, [70.0, 1294.0, 743.0, 36.0], C4VqBDCKEn, 5752941]
[paragraph, [173.0, 1349.0, 245.0, 36.0], Cj0wv3Azad, 5752941]
[paragraph, [67.0, 1391.0, 744.0, 36.0], elgLFqgORN, 5752941]
[paragraph, [67.0, 1427.0, 744.0, 36.0], elgLFqgORN, 5752941]
[paragraph, [67.0, 1463.0, 744.0, 36.0], elgLFqgORN, 5752941]
[paragraph, [874.0, 1395.0, 721.0, 36.0], shoonya_25sADSJB3PG4X9, 5752941]
[paragraph, [874.0, 1431.0, 721.0, 36.0], shoonya_25sADSJB3PG4X9, 5752941]
[paragraph, [869.0, 1489.0, 731.0, 36.0], VaiI1OKTEs, 5752941]
[paragraph, [869.0, 1525.0, 731.0, 36.0], VaiI1OKTEs, 5752941]
[paragraph, [61.0, 1527.0, 762.0, 36.0], uk8TWclbQj, 5752941]
[paragraph, [61.0, 1563.0, 762.0, 36.0], uk8TWclbQj, 5752941]
[paragraph, [61.0, 1599.0, 762.0, 36.0], uk8TWclbQj, 5752941]
[paragraph, [869.0, 1579.0, 731.0, 36.0], s8v3zlK1Ov, 5752941]
[paragraph, [869.0, 1615.0, 731.0, 36.0], s8v3zlK1Ov, 5752941]
[paragraph, [179.0, 1660.0, 521.0, 36.0], Sl_U1gjSjF, 5752941]
[paragraph, [978.0, 1668.0, 399.0, 36.0], KK7c-xuhB1, 5752941]
[paragraph, [83.0, 1706.0, 717.0, 36.0], nb_fA24wiy, 5752941]
[paragraph, [83.0, 1742.0, 717.0, 36.0], nb_fA24wiy, 5752941]
[paragraph, [980.0, 1712.0, 399.0, 36.0], go4CY-jxUL, 5752941]
[paragraph, [969.0, 1756.0, 399.0, 36.0], fcx4ginH-4, 5752941]
