[2339, 1654]
[folio, [47.0, 98.0, 627.0, 36.0], shoonya_0s5R3GZVOR9LOW, 5750543]
[paragraph, [72.0, 145.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 181.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 217.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 253.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 289.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 325.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 361.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 397.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 433.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 469.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 505.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 541.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 577.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 613.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 649.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 685.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 721.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 757.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 793.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [72.0, 829.0, 1448.0, 36.0], shoonya_4sHMXM3A76SMST, 5750543]
[paragraph, [202.0, 859.0, 1200.0, 36.0], AKROjIgNoX, 5750543]
[paragraph, [202.0, 895.0, 1200.0, 36.0], AKROjIgNoX, 5750543]
[paragraph, [202.0, 931.0, 1200.0, 36.0], AKROjIgNoX, 5750543]
[paragraph, [202.0, 967.0, 1200.0, 36.0], AKROjIgNoX, 5750543]
[paragraph, [202.0, 1003.0, 1200.0, 36.0], AKROjIgNoX, 5750543]
[paragraph, [202.0, 1039.0, 1200.0, 36.0], AKROjIgNoX, 5750543]
[paragraph, [202.0, 1075.0, 1200.0, 36.0], AKROjIgNoX, 5750543]
[reference, [988.0, 1121.0, 381.0, 36.0], shoonya_2s0PSTWXD74BTT, 5750543]
[paragraph, [64.0, 1175.0, 1490.0, 36.0], nivgK3o5w1, 5750543]
[paragraph, [64.0, 1211.0, 1490.0, 36.0], nivgK3o5w1, 5750543]
[paragraph, [64.0, 1247.0, 1490.0, 36.0], nivgK3o5w1, 5750543]
[paragraph, [64.0, 1283.0, 1490.0, 36.0], nivgK3o5w1, 5750543]
[paragraph, [64.0, 1319.0, 1490.0, 36.0], nivgK3o5w1, 5750543]
[paragraph, [64.0, 1355.0, 1490.0, 36.0], nivgK3o5w1, 5750543]
[paragraph, [64.0, 1391.0, 1490.0, 36.0], nivgK3o5w1, 5750543]
[paragraph, [64.0, 1427.0, 1490.0, 36.0], nivgK3o5w1, 5750543]
[paragraph, [64.0, 1463.0, 1490.0, 36.0], nivgK3o5w1, 5750543]
[paragraph, [64.0, 1499.0, 1490.0, 36.0], nivgK3o5w1, 5750543]
[paragraph, [64.0, 1535.0, 1490.0, 36.0], nivgK3o5w1, 5750543]
[paragraph, [64.0, 1571.0, 1490.0, 36.0], nivgK3o5w1, 5750543]
[paragraph, [220.0, 1636.0, 1157.0, 36.0], shoonya_3sI9BN6IVBH2PO, 5750543]
[paragraph, [220.0, 1672.0, 1157.0, 36.0], shoonya_3sI9BN6IVBH2PO, 5750543]
[paragraph, [220.0, 1708.0, 1157.0, 36.0], shoonya_3sI9BN6IVBH2PO, 5750543]
[reference, [950.0, 1751.0, 436.0, 36.0], UIyr45zhcM, 5750543]
[reference, [950.0, 1787.0, 436.0, 36.0], UIyr45zhcM, 5750543]
[paragraph, [81.0, 1807.0, 1454.0, 36.0], shoonya_1sPUPB40XH0S5I, 5750543]
[paragraph, [81.0, 1843.0, 1454.0, 36.0], shoonya_1sPUPB40XH0S5I, 5750543]
[paragraph, [81.0, 1879.0, 1454.0, 36.0], shoonya_1sPUPB40XH0S5I, 5750543]
[paragraph, [81.0, 1915.0, 1454.0, 36.0], shoonya_1sPUPB40XH0S5I, 5750543]
[paragraph, [81.0, 1951.0, 1454.0, 36.0], shoonya_1sPUPB40XH0S5I, 5750543]
[paragraph, [81.0, 1987.0, 1454.0, 36.0], shoonya_1sPUPB40XH0S5I, 5750543]
[paragraph, [81.0, 2023.0, 1454.0, 36.0], shoonya_1sPUPB40XH0S5I, 5750543]
[paragraph, [81.0, 2059.0, 1454.0, 36.0], shoonya_1sPUPB40XH0S5I, 5750543]
[paragraph, [81.0, 2095.0, 1454.0, 36.0], shoonya_1sPUPB40XH0S5I, 5750543]
[paragraph, [81.0, 2131.0, 1454.0, 36.0], shoonya_1sPUPB40XH0S5I, 5750543]
[paragraph, [81.0, 2167.0, 1454.0, 36.0], shoonya_1sPUPB40XH0S5I, 5750543]
[paragraph, [81.0, 2203.0, 1454.0, 36.0], shoonya_1sPUPB40XH0S5I, 5750543]
[paragraph, [81.0, 2239.0, 1454.0, 36.0], shoonya_1sPUPB40XH0S5I, 5750543]
