[688, 400]
[folio, [161.0, 24.0, 83.0, 18.0], shoonya_0sMTRTU0VJ9UJ7, 5748334]
[paragraph, [12.0, 59.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 77.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 95.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 113.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 131.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 149.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 167.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 185.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 203.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 221.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 239.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 257.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 275.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 293.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 311.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 329.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 347.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 365.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 383.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 401.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 419.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 437.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 455.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 473.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 491.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 509.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 527.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [12.0, 545.0, 384.0, 18.0], n2COsNR5bd, 5748334]
[paragraph, [15.0, 568.0, 375.0, 18.0], GbPuk34WDh, 5748334]
[paragraph, [15.0, 586.0, 375.0, 18.0], GbPuk34WDh, 5748334]
[paragraph, [15.0, 604.0, 375.0, 18.0], GbPuk34WDh, 5748334]
[paragraph, [15.0, 622.0, 375.0, 18.0], GbPuk34WDh, 5748334]
[paragraph, [15.0, 640.0, 375.0, 18.0], GbPuk34WDh, 5748334]
