[3508, 2481]
[contact-info, [604.0, 90.0, 1414.0, 52.5], shoonya_0s5IVPDK5ESMQD, 6534626]
[contact-info, [604.0, 142.5, 1414.0, 52.5], shoonya_0s5IVPDK5ESMQD, 6534626]
[paragraph, [841.0, 234.0, 782.0, 52.5], 7YbHY2zrC2, 6534626]
[section-title, [1010.0, 531.0, 434.0, 93.0], f_5vVIjDA8, 6534626]
[sub-section-title, [215.0, 754.0, 957.0, 73.5], HZyk5hYHXl, 6534626]
[placeholder-text, [1986.0, 1017.0, 275.0, 18.0], ixZP2YfrAf, 6534626]
[placeholder-text, [1986.0, 1035.0, 275.0, 18.0], ixZP2YfrAf, 6534626]
[placeholder-text, [1986.0, 1053.0, 275.0, 18.0], ixZP2YfrAf, 6534626]
[placeholder-text, [1986.0, 1071.0, 275.0, 18.0], ixZP2YfrAf, 6534626]
[paragraph, [215.0, 1273.0, 312.0, 52.5], ISViUqRb0N, 6534626]
[paragraph, [215.0, 1398.0, 2036.0, 52.5], MJqPtsnBkH, 6534626]
[paragraph, [215.0, 1450.5, 2036.0, 52.5], MJqPtsnBkH, 6534626]
[paragraph, [215.0, 1503.0, 2036.0, 52.5], MJqPtsnBkH, 6534626]
[paragraph, [215.0, 1555.5, 2036.0, 52.5], MJqPtsnBkH, 6534626]
[paragraph, [215.0, 1608.0, 2036.0, 52.5], MJqPtsnBkH, 6534626]
[paragraph, [222.0, 1755.0, 2033.0, 52.5], 1QjspAWBZ_, 6534626]
[paragraph, [222.0, 1807.5, 2033.0, 52.5], 1QjspAWBZ_, 6534626]
[paragraph, [222.0, 1860.0, 2033.0, 52.5], 1QjspAWBZ_, 6534626]
[paragraph, [222.0, 1912.5, 2033.0, 52.5], 1QjspAWBZ_, 6534626]
[paragraph, [222.0, 1965.0, 2033.0, 52.5], 1QjspAWBZ_, 6534626]
[paragraph, [222.0, 2017.5, 2033.0, 52.5], 1QjspAWBZ_, 6534626]
[paragraph, [222.0, 2070.0, 2033.0, 52.5], 1QjspAWBZ_, 6534626]
[paragraph, [222.0, 2122.5, 2033.0, 52.5], 1QjspAWBZ_, 6534626]
[paragraph, [222.0, 2175.0, 2033.0, 52.5], 1QjspAWBZ_, 6534626]
[paragraph, [222.0, 2227.5, 2033.0, 52.5], 1QjspAWBZ_, 6534626]
[sub-section-title, [206.0, 2469.0, 591.0, 73.5], BWh-Iz4ALT, 6534626]
[ordered-list, [176.0, 2600.0, 2130.0, 52.5], C2PA1JcYU7, 6534626]
[ordered-list, [176.0, 2652.5, 2130.0, 52.5], C2PA1JcYU7, 6534626]
[ordered-list, [176.0, 2705.0, 2130.0, 52.5], C2PA1JcYU7, 6534626]
[ordered-list, [176.0, 2757.5, 2130.0, 52.5], C2PA1JcYU7, 6534626]
[ordered-list, [176.0, 2810.0, 2130.0, 52.5], C2PA1JcYU7, 6534626]
[ordered-list, [176.0, 2862.5, 2130.0, 52.5], C2PA1JcYU7, 6534626]
[ordered-list, [176.0, 2915.0, 2130.0, 52.5], C2PA1JcYU7, 6534626]
[ordered-list, [176.0, 2967.5, 2130.0, 52.5], C2PA1JcYU7, 6534626]
[ordered-list, [176.0, 3020.0, 2130.0, 52.5], C2PA1JcYU7, 6534626]
[ordered-list, [176.0, 3072.5, 2130.0, 52.5], C2PA1JcYU7, 6534626]
