[590, 396]
[chapter-title, [62.0, 95.0, 68.0, 30.0], shoonya_7sYVKMRVMCO2OV, 6513367]
[paragraph, [66.0, 142.0, 298.0, 18.0], shoonya_0sNL5338FDA1FV, 6513367]
[paragraph, [66.0, 160.0, 298.0, 18.0], shoonya_0sNL5338FDA1FV, 6513367]
[paragraph, [66.0, 178.0, 298.0, 18.0], shoonya_0sNL5338FDA1FV, 6513367]
[paragraph, [66.0, 196.0, 298.0, 18.0], shoonya_0sNL5338FDA1FV, 6513367]
[paragraph, [66.0, 219.0, 299.0, 18.0], shoonya_1sKI1WEI2HPG94, 6513367]
[paragraph, [66.0, 237.0, 299.0, 18.0], shoonya_1sKI1WEI2HPG94, 6513367]
[paragraph, [66.0, 255.0, 299.0, 18.0], shoonya_1sKI1WEI2HPG94, 6513367]
[paragraph, [90.0, 296.0, 141.0, 18.0], 6CZv9o_XyX, 6513367]
[paragraph, [98.0, 316.0, 215.0, 18.0], z9W-2sJJfq, 6513367]
[paragraph, [68.0, 339.0, 296.0, 18.0], shoonya_3sT924HART5YH2, 6513367]
[paragraph, [68.0, 357.0, 296.0, 18.0], shoonya_3sT924HART5YH2, 6513367]
[paragraph, [67.0, 378.0, 296.0, 18.0], shoonya_8s0LD286TRDN56, 6513367]
[paragraph, [67.0, 396.0, 296.0, 18.0], shoonya_8s0LD286TRDN56, 6513367]
[paragraph, [67.0, 414.0, 296.0, 18.0], shoonya_8s0LD286TRDN56, 6513367]
[paragraph, [67.0, 432.0, 296.0, 18.0], shoonya_8s0LD286TRDN56, 6513367]
[paragraph, [67.0, 450.0, 296.0, 18.0], shoonya_8s0LD286TRDN56, 6513367]
[paragraph, [67.0, 468.0, 296.0, 18.0], shoonya_8s0LD286TRDN56, 6513367]
