[2200, 1700]
[paragraph, [310.0, 103.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 139.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 175.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 211.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 247.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 283.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 319.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 355.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 391.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 427.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 463.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 499.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 535.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 571.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 607.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 643.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 679.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 715.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 751.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 787.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 823.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 859.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 895.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 931.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 967.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 1003.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 1039.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 1075.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 1111.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 1147.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 1183.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[paragraph, [310.0, 1219.0, 1134.0, 36.0], shoonya_0sO6S43GFR1UC1, 5731160]
[folio, [885.0, 2047.0, 413.0, 36.0], AjHykDly62, 5731160]
