[3509, 2480]
[paragraph, [272.0, 432.0, 1928.0, 52.5], shoonya_0s9PD23CZC8OK6, 5721420]
[paragraph, [272.0, 484.5, 1928.0, 52.5], shoonya_0s9PD23CZC8OK6, 5721420]
[paragraph, [272.0, 537.0, 1928.0, 52.5], shoonya_0s9PD23CZC8OK6, 5721420]
[paragraph, [275.0, 595.0, 1934.0, 52.5], K9OogVUElX, 5721420]
[paragraph, [275.0, 647.5, 1934.0, 52.5], K9OogVUElX, 5721420]
[paragraph, [275.0, 700.0, 1934.0, 52.5], K9OogVUElX, 5721420]
[paragraph, [272.0, 753.0, 1937.0, 52.5], 7CIc4OTX6F, 5721420]
[paragraph, [272.0, 805.5, 1937.0, 52.5], 7CIc4OTX6F, 5721420]
[paragraph, [269.0, 908.0, 675.0, 52.5], RvHhEffIyj, 5721420]
[paragraph, [269.0, 991.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1043.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1096.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1148.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1201.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1253.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1306.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1358.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1411.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1463.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1516.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1568.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1621.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1673.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1726.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1778.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1831.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1883.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1936.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 1988.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 2041.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 2093.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 2146.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 2198.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 2251.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 2303.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 2356.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 2408.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 2461.0, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 2513.5, 1956.0, 52.5], rA25I5a0js, 5721420]
[paragraph, [269.0, 2582.0, 1943.0, 52.5], MbuiQ5YdS_, 5721420]
[paragraph, [266.0, 2659.0, 1937.0, 52.5], DCaC1Pykys, 5721420]
[paragraph, [266.0, 2711.5, 1937.0, 52.5], DCaC1Pykys, 5721420]
[paragraph, [266.0, 2814.0, 1943.0, 52.5], RipO90MCYG, 5721420]
[paragraph, [266.0, 2866.5, 1943.0, 52.5], RipO90MCYG, 5721420]
[paragraph, [266.0, 2919.0, 1943.0, 52.5], RipO90MCYG, 5721420]
[paragraph, [266.0, 2971.5, 1943.0, 52.5], RipO90MCYG, 5721420]
