[2200, 1700]
[paragraph, [309.0, 67.0, 1087.0, 36.0], shoonya_3sH6721ADVS2T2, 5730729]
[paragraph, [309.0, 103.0, 1087.0, 36.0], shoonya_3sH6721ADVS2T2, 5730729]
[paragraph, [309.0, 139.0, 1087.0, 36.0], shoonya_3sH6721ADVS2T2, 5730729]
[paragraph, [309.0, 175.0, 1087.0, 36.0], shoonya_3sH6721ADVS2T2, 5730729]
[paragraph, [309.0, 211.0, 1087.0, 36.0], shoonya_3sH6721ADVS2T2, 5730729]
[paragraph, [307.0, 247.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 283.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 319.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 355.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 391.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 427.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 463.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 499.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 535.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 571.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 607.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 643.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 679.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 715.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 751.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 787.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [307.0, 823.0, 1092.0, 36.0], shoonya_0sYX5RRQ658ZSE, 5730729]
[paragraph, [312.0, 862.0, 1092.0, 36.0], shoonya_1sC3PI2K88GQAN, 5730729]
[paragraph, [312.0, 898.0, 1092.0, 36.0], shoonya_1sC3PI2K88GQAN, 5730729]
[paragraph, [312.0, 934.0, 1092.0, 36.0], shoonya_1sC3PI2K88GQAN, 5730729]
[paragraph, [312.0, 970.0, 1092.0, 36.0], shoonya_1sC3PI2K88GQAN, 5730729]
[paragraph, [312.0, 1006.0, 1092.0, 36.0], shoonya_1sC3PI2K88GQAN, 5730729]
[paragraph, [312.0, 1042.0, 1092.0, 36.0], shoonya_1sC3PI2K88GQAN, 5730729]
[paragraph, [312.0, 1078.0, 1092.0, 36.0], shoonya_1sC3PI2K88GQAN, 5730729]
[paragraph, [312.0, 1114.0, 1092.0, 36.0], shoonya_1sC3PI2K88GQAN, 5730729]
[paragraph, [312.0, 1150.0, 1092.0, 36.0], shoonya_1sC3PI2K88GQAN, 5730729]
[paragraph, [312.0, 1186.0, 1092.0, 36.0], shoonya_1sC3PI2K88GQAN, 5730729]
[paragraph, [312.0, 1222.0, 1092.0, 36.0], shoonya_1sC3PI2K88GQAN, 5730729]
[paragraph, [318.0, 1253.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1289.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1325.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1361.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1397.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1433.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1469.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1505.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1541.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1577.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1613.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1649.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1685.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1721.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1757.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1793.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [318.0, 1829.0, 1090.0, 36.0], shoonya_2sG3E6T19GZGY8, 5730729]
[paragraph, [459.0, 1872.0, 953.0, 36.0], shoonya_5sULHT8B8HMD5X, 5730729]
[folio, [963.0, 2025.0, 371.0, 36.0], jkZEMF8zpV, 5730729]
