[595, 419]
[section-title, [161.0, 32.0, 88.0, 30.0], shoonya_0s7VJQ3H138IDG, 6459859]
[paragraph, [75.0, 67.0, 246.0, 18.0], fNupnYX7ub, 6459859]
[paragraph, [75.0, 85.0, 246.0, 18.0], fNupnYX7ub, 6459859]
[paragraph, [55.0, 111.0, 302.0, 18.0], ryPSITUHZW, 6459859]
[paragraph, [53.0, 137.0, 301.0, 18.0], scI6B9sXB8, 6459859]
[paragraph, [53.0, 155.0, 301.0, 18.0], scI6B9sXB8, 6459859]
[paragraph, [63.0, 179.0, 282.0, 18.0], jpHjgEwWVh, 6459859]
[paragraph, [79.0, 204.0, 281.0, 18.0], lRTCE7GDpW, 6459859]
[paragraph, [79.0, 222.0, 281.0, 18.0], lRTCE7GDpW, 6459859]
[paragraph, [79.0, 240.0, 281.0, 18.0], lRTCE7GDpW, 6459859]
[paragraph, [79.0, 258.0, 281.0, 18.0], lRTCE7GDpW, 6459859]
[paragraph, [37.0, 293.0, 343.0, 18.0], 0q4aHc0DYp, 6459859]
[paragraph, [37.0, 311.0, 343.0, 18.0], 0q4aHc0DYp, 6459859]
[paragraph, [37.0, 329.0, 343.0, 18.0], 0q4aHc0DYp, 6459859]
[paragraph, [37.0, 347.0, 343.0, 18.0], 0q4aHc0DYp, 6459859]
[paragraph, [37.0, 365.0, 343.0, 18.0], 0q4aHc0DYp, 6459859]
[paragraph, [47.0, 397.0, 297.0, 18.0], DPT3HQazeZ, 6459859]
[paragraph, [47.0, 415.0, 297.0, 18.0], DPT3HQazeZ, 6459859]
[paragraph, [47.0, 433.0, 297.0, 18.0], DPT3HQazeZ, 6459859]
[paragraph, [47.0, 451.0, 297.0, 18.0], DPT3HQazeZ, 6459859]
[paragraph, [47.0, 469.0, 297.0, 18.0], DPT3HQazeZ, 6459859]
[paragraph, [47.0, 487.0, 297.0, 18.0], DPT3HQazeZ, 6459859]
[paragraph, [44.0, 505.0, 341.0, 18.0], BRc9la_KlY, 6459859]
[paragraph, [44.0, 523.0, 341.0, 18.0], BRc9la_KlY, 6459859]
[paragraph, [44.0, 541.0, 341.0, 18.0], BRc9la_KlY, 6459859]
