[1565, 1152]
[headline, [635.0, 176.0, 422.0, 37.5], shoonya_3s0WTDH30J9Q0R, 5722643]
[paragraph, [138.0, 276.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 312.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 348.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 384.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 420.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 456.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 492.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 528.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 564.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 600.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 636.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 672.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 708.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 744.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 780.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 816.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 852.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 888.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 924.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 960.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 996.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 1032.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 1068.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 1104.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 1140.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 1176.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 1212.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 1248.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 1284.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
[paragraph, [138.0, 1320.0, 472.0, 36.0], shoonya_0sSZ2AJY2S5C04, 5722643]
