[1755, 1242]
[section-title, [470.0, 79.0, 253.0, 49.5], shoonya_1sJZSKKHT53NQ0, 5715391]
[sub-section-title, [285.0, 141.0, 662.0, 36.0], rOn2RkpOzB, 5715391]
[unordered-list, [110.0, 195.0, 1002.0, 36.0], po0VjZjdyE, 5715391]
[unordered-list, [110.0, 231.0, 1002.0, 36.0], po0VjZjdyE, 5715391]
[unordered-list, [110.0, 267.0, 1002.0, 36.0], po0VjZjdyE, 5715391]
[unordered-list, [110.0, 303.0, 1002.0, 36.0], po0VjZjdyE, 5715391]
[unordered-list, [110.0, 339.0, 1002.0, 36.0], po0VjZjdyE, 5715391]
[unordered-list, [110.0, 375.0, 1002.0, 36.0], po0VjZjdyE, 5715391]
[unordered-list, [110.0, 411.0, 1002.0, 36.0], po0VjZjdyE, 5715391]
[section-title, [335.0, 478.0, 585.0, 49.5], VAKLHfj9Ih, 5715391]
[sub-section-title, [664.0, 549.0, 313.0, 36.0], cZ1MROfQ16, 5715391]
[sub-section-title, [664.0, 585.0, 313.0, 36.0], cZ1MROfQ16, 5715391]
[sub-section-title, [212.0, 559.0, 341.0, 36.0], hGQQ0N1neq, 5715391]
[paragraph, [167.0, 630.0, 428.0, 36.0], aluSOtDbtj, 5715391]
[paragraph, [167.0, 666.0, 428.0, 36.0], aluSOtDbtj, 5715391]
[paragraph, [167.0, 702.0, 428.0, 36.0], aluSOtDbtj, 5715391]
[paragraph, [167.0, 738.0, 428.0, 36.0], aluSOtDbtj, 5715391]
[paragraph, [167.0, 774.0, 428.0, 36.0], aluSOtDbtj, 5715391]
[paragraph, [167.0, 810.0, 428.0, 36.0], aluSOtDbtj, 5715391]
[paragraph, [167.0, 846.0, 428.0, 36.0], aluSOtDbtj, 5715391]
[ordered-list, [599.0, 642.0, 442.0, 36.0], Sdd1oirbA1, 5715391]
[ordered-list, [599.0, 678.0, 442.0, 36.0], Sdd1oirbA1, 5715391]
[ordered-list, [599.0, 714.0, 442.0, 36.0], Sdd1oirbA1, 5715391]
[ordered-list, [599.0, 750.0, 442.0, 36.0], Sdd1oirbA1, 5715391]
[ordered-list, [599.0, 786.0, 442.0, 36.0], Sdd1oirbA1, 5715391]
[ordered-list, [599.0, 822.0, 442.0, 36.0], Sdd1oirbA1, 5715391]
[ordered-list, [599.0, 858.0, 442.0, 36.0], Sdd1oirbA1, 5715391]
[ordered-list, [599.0, 894.0, 442.0, 36.0], Sdd1oirbA1, 5715391]
[ordered-list, [599.0, 930.0, 442.0, 36.0], Sdd1oirbA1, 5715391]
[ordered-list, [599.0, 966.0, 442.0, 36.0], Sdd1oirbA1, 5715391]
[ordered-list, [599.0, 1002.0, 442.0, 36.0], Sdd1oirbA1, 5715391]
[ordered-list, [599.0, 1038.0, 442.0, 36.0], Sdd1oirbA1, 5715391]
[placeholder-text, [270.0, 650.0, 322.0, 18.0], 5QJ0uruTg2, 5715391]
[placeholder-text, [725.0, 656.0, 271.0, 18.0], fam3Xruh95, 5715391]
[placeholder-text, [721.0, 692.0, 225.0, 18.0], ym6U1ZSrqp, 5715391]
[placeholder-text, [226.0, 712.0, 121.0, 18.0], gOHxK1F8Hh, 5715391]
[placeholder-text, [768.0, 725.0, 211.0, 18.0], hoDgEyAMi5, 5715391]
[placeholder-text, [608.0, 764.0, 163.0, 18.0], GBsGhRDOhp, 5715391]
[placeholder-text, [175.0, 807.0, 133.0, 18.0], _Ix4_ayC1Q, 5715391]
[placeholder-text, [417.0, 832.0, 116.0, 18.0], -D2MVZtLNI, 5715391]
[placeholder-text, [176.0, 835.0, 166.0, 18.0], j0vgjcGJab, 5715391]
[placeholder-text, [176.0, 866.0, 97.0, 18.0], ocdhOcZ4rX, 5715391]
[paragraph, [173.0, 920.0, 419.0, 36.0], f_EPIS8Mab, 5715391]
[paragraph, [173.0, 956.0, 419.0, 36.0], f_EPIS8Mab, 5715391]
[paragraph, [173.0, 992.0, 419.0, 36.0], f_EPIS8Mab, 5715391]
[paragraph, [173.0, 1028.0, 419.0, 36.0], f_EPIS8Mab, 5715391]
[paragraph, [173.0, 1064.0, 419.0, 36.0], f_EPIS8Mab, 5715391]
[paragraph, [605.0, 1118.0, 68.0, 36.0], 0tK8JwF65o, 5715391]
[paragraph, [801.0, 1138.0, 222.0, 36.0], FvBnIoPM0q, 5715391]
[paragraph, [801.0, 1174.0, 222.0, 36.0], FvBnIoPM0q, 5715391]
[paragraph, [313.0, 1161.0, 270.0, 36.0], KLsZl9F1G6, 5715391]
[paragraph, [313.0, 1197.0, 270.0, 36.0], KLsZl9F1G6, 5715391]
[ordered-list, [597.0, 1224.0, 439.0, 36.0], 2RJdIq_GHy, 5715391]
