[2334, 1650]
[paragraph, [251.0, 170.0, 1160.0, 36.0], shoonya_5sMFWWLXQB2K8L, 5652369]
[paragraph, [251.0, 206.0, 1160.0, 36.0], shoonya_5sMFWWLXQB2K8L, 5652369]
[paragraph, [251.0, 242.0, 1160.0, 36.0], shoonya_5sMFWWLXQB2K8L, 5652369]
[paragraph, [251.0, 278.0, 1160.0, 36.0], shoonya_5sMFWWLXQB2K8L, 5652369]
[paragraph, [251.0, 314.0, 1160.0, 36.0], shoonya_5sMFWWLXQB2K8L, 5652369]
[paragraph, [251.0, 350.0, 1160.0, 36.0], shoonya_5sMFWWLXQB2K8L, 5652369]
[paragraph, [256.0, 398.0, 1158.0, 36.0], shoonya_2s3PQTJXJX79JM, 5652369]
[paragraph, [256.0, 434.0, 1158.0, 36.0], shoonya_2s3PQTJXJX79JM, 5652369]
[paragraph, [256.0, 470.0, 1158.0, 36.0], shoonya_2s3PQTJXJX79JM, 5652369]
[paragraph, [256.0, 506.0, 1158.0, 36.0], shoonya_2s3PQTJXJX79JM, 5652369]
[paragraph, [256.0, 542.0, 1158.0, 36.0], shoonya_2s3PQTJXJX79JM, 5652369]
[paragraph, [256.0, 578.0, 1158.0, 36.0], shoonya_2s3PQTJXJX79JM, 5652369]
[paragraph, [260.0, 631.0, 1155.0, 36.0], shoonya_0sF0KN83CU5ZK6, 5652369]
[paragraph, [260.0, 667.0, 1155.0, 36.0], shoonya_0sF0KN83CU5ZK6, 5652369]
[paragraph, [260.0, 703.0, 1155.0, 36.0], shoonya_0sF0KN83CU5ZK6, 5652369]
[paragraph, [260.0, 739.0, 1155.0, 36.0], shoonya_0sF0KN83CU5ZK6, 5652369]
[paragraph, [260.0, 775.0, 1155.0, 36.0], shoonya_0sF0KN83CU5ZK6, 5652369]
[paragraph, [260.0, 811.0, 1155.0, 36.0], shoonya_0sF0KN83CU5ZK6, 5652369]
[paragraph, [260.0, 847.0, 1155.0, 36.0], shoonya_0sF0KN83CU5ZK6, 5652369]
[paragraph, [260.0, 883.0, 1155.0, 36.0], shoonya_0sF0KN83CU5ZK6, 5652369]
[paragraph, [260.0, 919.0, 1155.0, 36.0], shoonya_0sF0KN83CU5ZK6, 5652369]
[paragraph, [260.0, 955.0, 1155.0, 36.0], shoonya_0sF0KN83CU5ZK6, 5652369]
[paragraph, [260.0, 991.0, 1155.0, 36.0], shoonya_0sF0KN83CU5ZK6, 5652369]
[paragraph, [265.0, 1034.0, 1155.0, 36.0], shoonya_3sO5ZQ1YXS0VO5, 5652369]
[paragraph, [265.0, 1070.0, 1155.0, 36.0], shoonya_3sO5ZQ1YXS0VO5, 5652369]
[paragraph, [265.0, 1106.0, 1155.0, 36.0], shoonya_3sO5ZQ1YXS0VO5, 5652369]
[paragraph, [265.0, 1142.0, 1155.0, 36.0], shoonya_3sO5ZQ1YXS0VO5, 5652369]
[paragraph, [265.0, 1178.0, 1155.0, 36.0], shoonya_3sO5ZQ1YXS0VO5, 5652369]
[paragraph, [265.0, 1214.0, 1155.0, 36.0], shoonya_3sO5ZQ1YXS0VO5, 5652369]
[paragraph, [264.0, 1257.0, 1151.0, 36.0], shoonya_1sJTHRL5XVIYD9, 5652369]
[paragraph, [264.0, 1293.0, 1151.0, 36.0], shoonya_1sJTHRL5XVIYD9, 5652369]
[paragraph, [264.0, 1329.0, 1151.0, 36.0], shoonya_1sJTHRL5XVIYD9, 5652369]
[paragraph, [264.0, 1365.0, 1151.0, 36.0], shoonya_1sJTHRL5XVIYD9, 5652369]
[paragraph, [264.0, 1401.0, 1151.0, 36.0], shoonya_1sJTHRL5XVIYD9, 5652369]
[paragraph, [264.0, 1437.0, 1151.0, 36.0], shoonya_1sJTHRL5XVIYD9, 5652369]
[paragraph, [264.0, 1473.0, 1151.0, 36.0], shoonya_1sJTHRL5XVIYD9, 5652369]
[paragraph, [264.0, 1509.0, 1151.0, 36.0], shoonya_1sJTHRL5XVIYD9, 5652369]
[paragraph, [264.0, 1545.0, 1151.0, 36.0], shoonya_1sJTHRL5XVIYD9, 5652369]
[paragraph, [264.0, 1581.0, 1151.0, 36.0], shoonya_1sJTHRL5XVIYD9, 5652369]
[paragraph, [257.0, 1658.0, 1155.0, 36.0], shoonya_4sMOE6DE0XUAZD, 5652369]
[paragraph, [257.0, 1694.0, 1155.0, 36.0], shoonya_4sMOE6DE0XUAZD, 5652369]
[paragraph, [257.0, 1730.0, 1155.0, 36.0], shoonya_4sMOE6DE0XUAZD, 5652369]
[paragraph, [257.0, 1766.0, 1155.0, 36.0], shoonya_4sMOE6DE0XUAZD, 5652369]
[paragraph, [250.0, 1826.0, 1169.0, 36.0], shoonya_6sXFMYY2RVFPEF, 5652369]
[paragraph, [250.0, 1862.0, 1169.0, 36.0], shoonya_6sXFMYY2RVFPEF, 5652369]
[paragraph, [250.0, 1898.0, 1169.0, 36.0], shoonya_6sXFMYY2RVFPEF, 5652369]
[paragraph, [250.0, 1934.0, 1169.0, 36.0], shoonya_6sXFMYY2RVFPEF, 5652369]
[paragraph, [250.0, 1970.0, 1169.0, 36.0], shoonya_6sXFMYY2RVFPEF, 5652369]
[paragraph, [250.0, 2006.0, 1169.0, 36.0], shoonya_6sXFMYY2RVFPEF, 5652369]
[folio, [342.0, 2102.0, 385.0, 36.0], EVu7lVR8YG, 5652369]
