[1755, 1241]
[folio, [206.0, 60.0, 220.0, 36.0], shoonya_5sSYGXFI5HCWMJ, 5759774]
[paragraph, [198.0, 130.0, 815.0, 36.0], Y866jm0FXT, 5759774]
[paragraph, [198.0, 166.0, 815.0, 36.0], Y866jm0FXT, 5759774]
[paragraph, [198.0, 202.0, 815.0, 36.0], Y866jm0FXT, 5759774]
[paragraph, [198.0, 238.0, 815.0, 36.0], Y866jm0FXT, 5759774]
[paragraph, [198.0, 274.0, 815.0, 36.0], Y866jm0FXT, 5759774]
[paragraph, [198.0, 310.0, 815.0, 36.0], Y866jm0FXT, 5759774]
[paragraph, [198.0, 346.0, 815.0, 36.0], Y866jm0FXT, 5759774]
[paragraph, [198.0, 382.0, 815.0, 36.0], Y866jm0FXT, 5759774]
[paragraph, [268.0, 484.0, 528.0, 36.0], CcFepOfG9e, 5759774]
[paragraph, [268.0, 520.0, 528.0, 36.0], CcFepOfG9e, 5759774]
[paragraph, [268.0, 556.0, 528.0, 36.0], CcFepOfG9e, 5759774]
[paragraph, [268.0, 592.0, 528.0, 36.0], CcFepOfG9e, 5759774]
[paragraph, [268.0, 628.0, 528.0, 36.0], CcFepOfG9e, 5759774]
[paragraph, [268.0, 664.0, 528.0, 36.0], CcFepOfG9e, 5759774]
[paragraph, [268.0, 700.0, 528.0, 36.0], CcFepOfG9e, 5759774]
[paragraph, [268.0, 736.0, 528.0, 36.0], CcFepOfG9e, 5759774]
[paragraph, [268.0, 772.0, 528.0, 36.0], CcFepOfG9e, 5759774]
[paragraph, [268.0, 808.0, 528.0, 36.0], CcFepOfG9e, 5759774]
[paragraph, [200.0, 856.0, 812.0, 36.0], 1LLQuGGOS7, 5759774]
[paragraph, [200.0, 892.0, 812.0, 36.0], 1LLQuGGOS7, 5759774]
[paragraph, [200.0, 928.0, 812.0, 36.0], 1LLQuGGOS7, 5759774]
[paragraph, [200.0, 964.0, 812.0, 36.0], 1LLQuGGOS7, 5759774]
[paragraph, [200.0, 1000.0, 812.0, 36.0], 1LLQuGGOS7, 5759774]
[paragraph, [200.0, 1047.0, 815.0, 36.0], vnHewclv9U, 5759774]
[paragraph, [200.0, 1083.0, 815.0, 36.0], vnHewclv9U, 5759774]
[paragraph, [201.0, 1126.0, 817.0, 36.0], eiYUgVlg1C, 5759774]
[paragraph, [201.0, 1162.0, 817.0, 36.0], eiYUgVlg1C, 5759774]
[paragraph, [201.0, 1198.0, 817.0, 36.0], eiYUgVlg1C, 5759774]
[paragraph, [201.0, 1234.0, 817.0, 36.0], eiYUgVlg1C, 5759774]
[paragraph, [201.0, 1270.0, 817.0, 36.0], eiYUgVlg1C, 5759774]
[paragraph, [202.0, 1320.0, 808.0, 36.0], shoonya_4sLZ2VNBHKTIO0, 5759774]
[paragraph, [202.0, 1356.0, 808.0, 36.0], shoonya_4sLZ2VNBHKTIO0, 5759774]
[paragraph, [202.0, 1392.0, 808.0, 36.0], shoonya_4sLZ2VNBHKTIO0, 5759774]
[paragraph, [202.0, 1428.0, 808.0, 36.0], shoonya_4sLZ2VNBHKTIO0, 5759774]
[paragraph, [206.0, 1478.0, 797.0, 36.0], shoonya_1sTAHMKQ4SY5LX, 5759774]
[paragraph, [206.0, 1514.0, 797.0, 36.0], shoonya_1sTAHMKQ4SY5LX, 5759774]
[paragraph, [206.0, 1550.0, 797.0, 36.0], shoonya_1sTAHMKQ4SY5LX, 5759774]
[paragraph, [206.0, 1586.0, 797.0, 36.0], shoonya_1sTAHMKQ4SY5LX, 5759774]
