[1951, 1219]
[folio, [698.0, 117.0, 178.0, 36.0], Ve4RtKKMMv, 5682021]
[paragraph, [113.0, 204.0, 872.0, 36.0], shoonya_1s2IYB0O59A41P, 5682021]
[paragraph, [108.0, 268.0, 876.0, 36.0], shoonya_0s0RUQJKNYG0WM, 5682021]
[paragraph, [108.0, 304.0, 876.0, 36.0], shoonya_0s0RUQJKNYG0WM, 5682021]
[paragraph, [108.0, 340.0, 876.0, 36.0], shoonya_0s0RUQJKNYG0WM, 5682021]
[paragraph, [108.0, 376.0, 876.0, 36.0], shoonya_0s0RUQJKNYG0WM, 5682021]
[paragraph, [108.0, 412.0, 876.0, 36.0], shoonya_0s0RUQJKNYG0WM, 5682021]
[paragraph, [108.0, 448.0, 876.0, 36.0], shoonya_0s0RUQJKNYG0WM, 5682021]
[paragraph, [105.0, 501.0, 877.0, 36.0], 1yHHUgpFAy, 5682021]
[paragraph, [105.0, 537.0, 877.0, 36.0], 1yHHUgpFAy, 5682021]
[paragraph, [105.0, 573.0, 877.0, 36.0], 1yHHUgpFAy, 5682021]
[paragraph, [105.0, 609.0, 877.0, 36.0], 1yHHUgpFAy, 5682021]
[paragraph, [105.0, 645.0, 877.0, 36.0], 1yHHUgpFAy, 5682021]
[paragraph, [105.0, 681.0, 877.0, 36.0], 1yHHUgpFAy, 5682021]
[paragraph, [105.0, 717.0, 877.0, 36.0], 1yHHUgpFAy, 5682021]
[paragraph, [105.0, 753.0, 877.0, 36.0], 1yHHUgpFAy, 5682021]
[paragraph, [105.0, 789.0, 877.0, 36.0], 1yHHUgpFAy, 5682021]
[paragraph, [105.0, 825.0, 877.0, 36.0], 1yHHUgpFAy, 5682021]
[paragraph, [105.0, 861.0, 877.0, 36.0], 1yHHUgpFAy, 5682021]
[paragraph, [100.0, 906.0, 881.0, 36.0], V54P9d5kz2, 5682021]
[paragraph, [100.0, 942.0, 881.0, 36.0], V54P9d5kz2, 5682021]
[paragraph, [100.0, 978.0, 881.0, 36.0], V54P9d5kz2, 5682021]
[paragraph, [100.0, 1014.0, 881.0, 36.0], V54P9d5kz2, 5682021]
[paragraph, [100.0, 1050.0, 881.0, 36.0], V54P9d5kz2, 5682021]
[paragraph, [100.0, 1086.0, 881.0, 36.0], V54P9d5kz2, 5682021]
[paragraph, [100.0, 1122.0, 881.0, 36.0], V54P9d5kz2, 5682021]
[paragraph, [100.0, 1158.0, 881.0, 36.0], V54P9d5kz2, 5682021]
[paragraph, [100.0, 1194.0, 881.0, 36.0], V54P9d5kz2, 5682021]
[paragraph, [100.0, 1230.0, 881.0, 36.0], V54P9d5kz2, 5682021]
[paragraph, [100.0, 1266.0, 881.0, 36.0], V54P9d5kz2, 5682021]
[paragraph, [100.0, 1302.0, 881.0, 36.0], V54P9d5kz2, 5682021]
[paragraph, [100.0, 1372.0, 881.0, 36.0], R5_iICpfPy, 5682021]
[paragraph, [100.0, 1408.0, 881.0, 36.0], R5_iICpfPy, 5682021]
[paragraph, [100.0, 1444.0, 881.0, 36.0], R5_iICpfPy, 5682021]
[paragraph, [100.0, 1480.0, 881.0, 36.0], R5_iICpfPy, 5682021]
[paragraph, [100.0, 1516.0, 881.0, 36.0], R5_iICpfPy, 5682021]
[paragraph, [100.0, 1552.0, 881.0, 36.0], R5_iICpfPy, 5682021]
[paragraph, [100.0, 1588.0, 881.0, 36.0], R5_iICpfPy, 5682021]
[paragraph, [100.0, 1624.0, 881.0, 36.0], R5_iICpfPy, 5682021]
[paragraph, [100.0, 1660.0, 881.0, 36.0], R5_iICpfPy, 5682021]
[paragraph, [100.0, 1696.0, 881.0, 36.0], R5_iICpfPy, 5682021]
[paragraph, [160.0, 1774.0, 814.0, 36.0], MhZqgWrgb7, 5682021]
