[2200, 1700]
[folio, [657.0, 48.0, 371.0, 36.0], -yYigTGPY-, 5738874]
[folio, [657.0, 84.0, 371.0, 36.0], -yYigTGPY-, 5738874]
[section-title, [335.0, 231.0, 401.0, 52.5], 202eNSv8__, 5738874]
[sub-section-title, [144.0, 390.0, 456.0, 55.5], Sc3iAAidBl, 5738874]
[paragraph, [159.0, 465.0, 1371.0, 36.0], shoonya_3s1J4OGN5Y36P3, 5738874]
[paragraph, [159.0, 501.0, 1371.0, 36.0], shoonya_3s1J4OGN5Y36P3, 5738874]
[ordered-list, [212.0, 571.0, 1112.0, 36.0], shoonya_0sRCVECBSLVM0E, 5738874]
[ordered-list, [212.0, 607.0, 1112.0, 36.0], shoonya_0sRCVECBSLVM0E, 5738874]
[ordered-list, [212.0, 643.0, 1112.0, 36.0], shoonya_0sRCVECBSLVM0E, 5738874]
[sidebar, [166.0, 882.0, 572.0, 36.0], shoonya_8sT0UNJ7ARDJKA, 5738874]
[sidebar, [166.0, 918.0, 572.0, 36.0], shoonya_8sT0UNJ7ARDJKA, 5738874]
[sidebar, [166.0, 954.0, 572.0, 36.0], shoonya_8sT0UNJ7ARDJKA, 5738874]
[sidebar, [166.0, 990.0, 572.0, 36.0], shoonya_8sT0UNJ7ARDJKA, 5738874]
[sidebar, [166.0, 1026.0, 572.0, 36.0], shoonya_8sT0UNJ7ARDJKA, 5738874]
[sidebar, [166.0, 1062.0, 572.0, 36.0], shoonya_8sT0UNJ7ARDJKA, 5738874]
[sidebar, [166.0, 1098.0, 572.0, 36.0], shoonya_8sT0UNJ7ARDJKA, 5738874]
[sidebar, [166.0, 1134.0, 572.0, 36.0], shoonya_8sT0UNJ7ARDJKA, 5738874]
[sub-section-title, [152.0, 1341.0, 394.0, 55.5], shoonya_6s0G1BIYERIAX1, 5738874]
[paragraph, [157.0, 1423.0, 1327.0, 36.0], shoonya_1sQ9XPSHOW2C4T, 5738874]
[paragraph, [157.0, 1459.0, 1327.0, 36.0], shoonya_1sQ9XPSHOW2C4T, 5738874]
[paragraph, [157.0, 1495.0, 1327.0, 36.0], shoonya_1sQ9XPSHOW2C4T, 5738874]
[paragraph, [157.0, 1531.0, 1327.0, 36.0], shoonya_1sQ9XPSHOW2C4T, 5738874]
[sub-section-title, [152.0, 1605.0, 719.0, 55.5], ZZKvqu_ZRl, 5738874]
[paragraph, [153.0, 1686.0, 1352.0, 36.0], shoonya_4s8PNCPTAQHU39, 5738874]
[paragraph, [153.0, 1722.0, 1352.0, 36.0], shoonya_4s8PNCPTAQHU39, 5738874]
[paragraph, [153.0, 1758.0, 1352.0, 36.0], shoonya_4s8PNCPTAQHU39, 5738874]
[paragraph, [153.0, 1794.0, 1352.0, 36.0], shoonya_4s8PNCPTAQHU39, 5738874]
[paragraph, [153.0, 1830.0, 1352.0, 36.0], shoonya_4s8PNCPTAQHU39, 5738874]
[paragraph, [153.0, 1866.0, 1352.0, 36.0], shoonya_4s8PNCPTAQHU39, 5738874]
[paragraph, [153.0, 1902.0, 1352.0, 36.0], shoonya_4s8PNCPTAQHU39, 5738874]
[paragraph, [153.0, 1938.0, 1352.0, 36.0], shoonya_4s8PNCPTAQHU39, 5738874]
