[2339, 1656]
[headline, [635.0, 195.0, 384.0, 67.5], shoonya_0s0N4X1E89H6U3, 5752778]
[paragraph, [186.0, 322.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 358.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 394.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 430.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 466.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 502.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 538.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 574.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 610.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 646.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 682.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 718.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 754.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 790.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 826.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 862.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 898.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 934.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 970.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1006.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1042.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1078.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1114.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1150.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1186.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1222.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1258.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1294.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1330.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1366.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1402.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1438.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1474.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1510.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1546.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1582.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1618.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1654.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1690.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[paragraph, [186.0, 1726.0, 817.0, 36.0], BEKuY9uED5, 5752778]
[author, [906.0, 1869.0, 660.0, 36.0], LaJL_G_Va0, 5752778]
[author, [906.0, 1905.0, 660.0, 36.0], LaJL_G_Va0, 5752778]
[author, [906.0, 1941.0, 660.0, 36.0], LaJL_G_Va0, 5752778]
[author, [906.0, 1977.0, 660.0, 36.0], LaJL_G_Va0, 5752778]
[folio, [97.0, 2171.0, 171.0, 36.0], q3F4FuJw-O, 5752778]
