[2200, 1700]
[folio, [141.0, 10.0, 655.0, 36.0], shoonya_0sO169OOUGYE96, 6457685]
[folio, [141.0, 46.0, 655.0, 36.0], shoonya_0sO169OOUGYE96, 6457685]
[folio, [141.0, 82.0, 655.0, 36.0], shoonya_0sO169OOUGYE96, 6457685]
[section-title, [194.0, 243.0, 632.0, 52.5], shoonya_1sEGWI4SANGINK, 6457685]
[sub-section-title, [213.0, 347.0, 565.0, 55.5], 9Y6YFl3rvI, 6457685]
[subsub-section-title, [224.0, 455.0, 701.0, 58.5], MQQCA7CFGm, 6457685]
[paragraph, [192.0, 537.0, 1311.0, 36.0], 1MDV0b-_ZJ, 6457685]
[paragraph, [192.0, 573.0, 1311.0, 36.0], 1MDV0b-_ZJ, 6457685]
[paragraph, [192.0, 609.0, 1311.0, 36.0], 1MDV0b-_ZJ, 6457685]
[paragraph, [192.0, 645.0, 1311.0, 36.0], 1MDV0b-_ZJ, 6457685]
[paragraph, [192.0, 681.0, 1311.0, 36.0], 1MDV0b-_ZJ, 6457685]
[paragraph, [192.0, 717.0, 1311.0, 36.0], 1MDV0b-_ZJ, 6457685]
[paragraph, [192.0, 753.0, 1311.0, 36.0], 1MDV0b-_ZJ, 6457685]
[paragraph, [192.0, 789.0, 1311.0, 36.0], 1MDV0b-_ZJ, 6457685]
[paragraph, [192.0, 825.0, 1311.0, 36.0], 1MDV0b-_ZJ, 6457685]
[paragraph, [192.0, 861.0, 1311.0, 36.0], 1MDV0b-_ZJ, 6457685]
[paragraph, [192.0, 897.0, 1311.0, 36.0], 1MDV0b-_ZJ, 6457685]
[paragraph, [192.0, 933.0, 1311.0, 36.0], 1MDV0b-_ZJ, 6457685]
[subsub-section-title, [211.0, 1056.0, 444.0, 58.5], ME5Eih52S4, 6457685]
[paragraph, [211.0, 1134.0, 1305.0, 36.0], j7mhd-wv9p, 6457685]
[paragraph, [211.0, 1170.0, 1305.0, 36.0], j7mhd-wv9p, 6457685]
[paragraph, [211.0, 1206.0, 1305.0, 36.0], j7mhd-wv9p, 6457685]
[paragraph, [211.0, 1242.0, 1305.0, 36.0], j7mhd-wv9p, 6457685]
[ordered-list, [381.0, 1288.0, 812.0, 36.0], 7SQpX7XABq, 6457685]
[ordered-list, [381.0, 1324.0, 812.0, 36.0], 7SQpX7XABq, 6457685]
[ordered-list, [381.0, 1360.0, 812.0, 36.0], 7SQpX7XABq, 6457685]
[ordered-list, [381.0, 1396.0, 812.0, 36.0], 7SQpX7XABq, 6457685]
[ordered-list, [381.0, 1432.0, 812.0, 36.0], 7SQpX7XABq, 6457685]
[ordered-list, [381.0, 1468.0, 812.0, 36.0], 7SQpX7XABq, 6457685]
[section-title, [214.0, 1578.0, 859.0, 52.5], shoonya_4sOZVTRZ3MVJH4, 6457685]
[paragraph, [217.0, 1657.0, 1298.0, 36.0], Q3JIeugohx, 6457685]
[paragraph, [217.0, 1693.0, 1298.0, 36.0], Q3JIeugohx, 6457685]
[paragraph, [217.0, 1729.0, 1298.0, 36.0], Q3JIeugohx, 6457685]
[paragraph, [217.0, 1765.0, 1298.0, 36.0], Q3JIeugohx, 6457685]
[paragraph, [217.0, 1801.0, 1298.0, 36.0], Q3JIeugohx, 6457685]
[paragraph, [217.0, 1837.0, 1298.0, 36.0], Q3JIeugohx, 6457685]
[paragraph, [217.0, 1873.0, 1298.0, 36.0], Q3JIeugohx, 6457685]
[paragraph, [217.0, 1909.0, 1298.0, 36.0], Q3JIeugohx, 6457685]
[footnote, [213.0, 2109.0, 451.0, 36.0], JArKqP71eN, 6457685]
[folio, [699.0, 2113.0, 306.0, 36.0], YXeNFn6wyO, 6457685]
