[1267, 753]
[folio, [302.0, 76.0, 125.0, 18.0], shoonya_2sBY4COS9XBNGA, 5700010]
[paragraph, [74.0, 122.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 140.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 158.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 176.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 194.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 212.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 230.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 248.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 266.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 284.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 302.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 320.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 338.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 356.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 374.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 392.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 410.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 428.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 446.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 464.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 482.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 500.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 518.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 536.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 554.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 572.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 590.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [74.0, 608.0, 592.0, 18.0], shoonya_1sA7PIYKEZRH59, 5700010]
[paragraph, [76.0, 649.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 667.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 685.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 703.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 721.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 739.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 757.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 775.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 793.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 811.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 829.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 847.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 865.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 883.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 901.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 919.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 937.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 955.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 973.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 991.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 1009.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 1027.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 1045.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [76.0, 1063.0, 595.0, 18.0], shoonya_0sQUJDQAFEKGCE, 5700010]
[paragraph, [77.0, 1092.0, 595.0, 18.0], OjZ0f0kGAe, 5700010]
[paragraph, [77.0, 1110.0, 595.0, 18.0], OjZ0f0kGAe, 5700010]
[paragraph, [77.0, 1128.0, 595.0, 18.0], OjZ0f0kGAe, 5700010]
[paragraph, [77.0, 1146.0, 595.0, 18.0], OjZ0f0kGAe, 5700010]
[paragraph, [77.0, 1164.0, 595.0, 18.0], OjZ0f0kGAe, 5700010]
