[1987, 1270]
[folio, [597.0, 126.0, 99.0, 36.0], shoonya_1sMMLNEA2QPCXO, 5682105]
[paragraph, [136.0, 191.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 227.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 263.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 299.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 335.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 371.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 407.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 443.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 479.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 515.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 551.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 587.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 623.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 659.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 695.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 731.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [136.0, 767.0, 1008.0, 36.0], shoonya_3sONGNRJB0UP4F, 5682105]
[paragraph, [130.0, 820.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [130.0, 856.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [130.0, 892.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [130.0, 928.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [130.0, 964.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [130.0, 1000.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [130.0, 1036.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [130.0, 1072.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [130.0, 1108.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [130.0, 1144.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [130.0, 1180.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [130.0, 1216.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [130.0, 1252.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [130.0, 1288.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [130.0, 1324.0, 1012.0, 36.0], Qb1uZlSSYV, 5682105]
[paragraph, [128.0, 1399.0, 1011.0, 36.0], ktmvf9zqV6, 5682105]
[paragraph, [128.0, 1435.0, 1011.0, 36.0], ktmvf9zqV6, 5682105]
[paragraph, [176.0, 1501.0, 598.0, 36.0], 20gxmYrtCH, 5682105]
[paragraph, [125.0, 1555.0, 1008.0, 36.0], kUTX2tW_ff, 5682105]
[paragraph, [125.0, 1591.0, 1008.0, 36.0], kUTX2tW_ff, 5682105]
[paragraph, [123.0, 1655.0, 1012.0, 36.0], 8xMmCGlbec, 5682105]
[paragraph, [123.0, 1691.0, 1012.0, 36.0], 8xMmCGlbec, 5682105]
[paragraph, [123.0, 1727.0, 1012.0, 36.0], 8xMmCGlbec, 5682105]
[paragraph, [123.0, 1763.0, 1012.0, 36.0], 8xMmCGlbec, 5682105]
[paragraph, [123.0, 1799.0, 1012.0, 36.0], 8xMmCGlbec, 5682105]
