[2339, 1653]
[paragraph, [239.0, 247.0, 1165.0, 36.0], KUseXZYvxi, 5686625]
[paragraph, [239.0, 283.0, 1165.0, 36.0], KUseXZYvxi, 5686625]
[paragraph, [239.0, 319.0, 1165.0, 36.0], KUseXZYvxi, 5686625]
[paragraph, [440.0, 378.0, 832.0, 36.0], 61vWY3eXd7, 5686625]
[paragraph, [440.0, 414.0, 832.0, 36.0], 61vWY3eXd7, 5686625]
[paragraph, [440.0, 450.0, 832.0, 36.0], 61vWY3eXd7, 5686625]
[paragraph, [440.0, 486.0, 832.0, 36.0], 61vWY3eXd7, 5686625]
[paragraph, [440.0, 557.0, 768.0, 36.0], cq4Yn0LbAe, 5686625]
[reference, [444.0, 617.0, 88.0, 36.0], FB-IVLu1fO, 5686625]
[paragraph, [248.0, 679.0, 1157.0, 36.0], shoonya_1sNQPP4FCU0YND, 5686625]
[paragraph, [248.0, 715.0, 1157.0, 36.0], shoonya_1sNQPP4FCU0YND, 5686625]
[paragraph, [248.0, 751.0, 1157.0, 36.0], shoonya_1sNQPP4FCU0YND, 5686625]
[paragraph, [248.0, 787.0, 1157.0, 36.0], shoonya_1sNQPP4FCU0YND, 5686625]
[paragraph, [248.0, 823.0, 1157.0, 36.0], shoonya_1sNQPP4FCU0YND, 5686625]
[paragraph, [248.0, 859.0, 1157.0, 36.0], shoonya_1sNQPP4FCU0YND, 5686625]
[paragraph, [248.0, 895.0, 1157.0, 36.0], shoonya_1sNQPP4FCU0YND, 5686625]
[paragraph, [248.0, 931.0, 1157.0, 36.0], shoonya_1sNQPP4FCU0YND, 5686625]
[paragraph, [248.0, 967.0, 1157.0, 36.0], shoonya_1sNQPP4FCU0YND, 5686625]
[paragraph, [248.0, 1003.0, 1157.0, 36.0], shoonya_1sNQPP4FCU0YND, 5686625]
[paragraph, [248.0, 1039.0, 1157.0, 36.0], shoonya_1sNQPP4FCU0YND, 5686625]
[paragraph, [248.0, 1075.0, 1157.0, 36.0], shoonya_1sNQPP4FCU0YND, 5686625]
[paragraph, [446.0, 1146.0, 824.0, 36.0], Js-zDkctTT, 5686625]
[paragraph, [446.0, 1182.0, 824.0, 36.0], Js-zDkctTT, 5686625]
[paragraph, [438.0, 1260.0, 626.0, 36.0], ORyrsjXjeU, 5686625]
[reference, [1078.0, 1266.0, 126.0, 36.0], s5l5lU_9k6, 5686625]
[paragraph, [442.0, 1320.0, 830.0, 36.0], VDrXazGYUW, 5686625]
[paragraph, [442.0, 1356.0, 830.0, 36.0], VDrXazGYUW, 5686625]
[paragraph, [448.0, 1436.0, 824.0, 36.0], AhYwbnfcdq, 5686625]
[reference, [539.0, 1499.0, 133.0, 36.0], shoonya_3sDNQQ7031E6XD, 5686625]
[paragraph, [442.0, 1504.0, 86.0, 36.0], yYvzNAt8pt, 5686625]
[paragraph, [249.0, 1561.0, 1158.0, 36.0], shoonya_0sDDQ0CCOSFVT8, 5686625]
[paragraph, [249.0, 1597.0, 1158.0, 36.0], shoonya_0sDDQ0CCOSFVT8, 5686625]
[paragraph, [249.0, 1633.0, 1158.0, 36.0], shoonya_0sDDQ0CCOSFVT8, 5686625]
[paragraph, [249.0, 1669.0, 1158.0, 36.0], shoonya_0sDDQ0CCOSFVT8, 5686625]
[paragraph, [249.0, 1705.0, 1158.0, 36.0], shoonya_0sDDQ0CCOSFVT8, 5686625]
[paragraph, [249.0, 1741.0, 1158.0, 36.0], shoonya_0sDDQ0CCOSFVT8, 5686625]
[paragraph, [249.0, 1777.0, 1158.0, 36.0], shoonya_0sDDQ0CCOSFVT8, 5686625]
[paragraph, [249.0, 1813.0, 1158.0, 36.0], shoonya_0sDDQ0CCOSFVT8, 5686625]
[paragraph, [249.0, 1849.0, 1158.0, 36.0], shoonya_0sDDQ0CCOSFVT8, 5686625]
[paragraph, [249.0, 1885.0, 1158.0, 36.0], shoonya_0sDDQ0CCOSFVT8, 5686625]
[paragraph, [249.0, 1921.0, 1158.0, 36.0], shoonya_0sDDQ0CCOSFVT8, 5686625]
[paragraph, [249.0, 1957.0, 1158.0, 36.0], shoonya_0sDDQ0CCOSFVT8, 5686625]
[paragraph, [249.0, 1993.0, 1158.0, 36.0], shoonya_0sDDQ0CCOSFVT8, 5686625]
[paragraph, [249.0, 2029.0, 1158.0, 36.0], shoonya_0sDDQ0CCOSFVT8, 5686625]
