[1755, 1240]
[paragraph, [192.0, 194.0, 940.0, 36.0], shoonya_0sQA3QVWCXHYJP, 5743533]
[paragraph, [192.0, 230.0, 940.0, 36.0], shoonya_0sQA3QVWCXHYJP, 5743533]
[paragraph, [192.0, 266.0, 940.0, 36.0], shoonya_0sQA3QVWCXHYJP, 5743533]
[paragraph, [192.0, 302.0, 940.0, 36.0], shoonya_0sQA3QVWCXHYJP, 5743533]
[paragraph, [192.0, 338.0, 940.0, 36.0], shoonya_0sQA3QVWCXHYJP, 5743533]
[paragraph, [192.0, 374.0, 940.0, 36.0], shoonya_0sQA3QVWCXHYJP, 5743533]
[paragraph, [192.0, 410.0, 940.0, 36.0], shoonya_0sQA3QVWCXHYJP, 5743533]
[paragraph, [192.0, 446.0, 940.0, 36.0], shoonya_0sQA3QVWCXHYJP, 5743533]
[paragraph, [192.0, 482.0, 940.0, 36.0], shoonya_0sQA3QVWCXHYJP, 5743533]
[paragraph, [192.0, 518.0, 940.0, 36.0], shoonya_0sQA3QVWCXHYJP, 5743533]
[paragraph, [192.0, 554.0, 940.0, 36.0], shoonya_0sQA3QVWCXHYJP, 5743533]
[paragraph, [192.0, 590.0, 940.0, 36.0], shoonya_0sQA3QVWCXHYJP, 5743533]
[paragraph, [192.0, 626.0, 940.0, 36.0], shoonya_0sQA3QVWCXHYJP, 5743533]
[paragraph, [192.0, 677.0, 943.0, 36.0], GOe3a2kvnD, 5743533]
[paragraph, [192.0, 713.0, 943.0, 36.0], GOe3a2kvnD, 5743533]
[paragraph, [192.0, 749.0, 943.0, 36.0], GOe3a2kvnD, 5743533]
[paragraph, [192.0, 785.0, 943.0, 36.0], GOe3a2kvnD, 5743533]
[paragraph, [192.0, 830.0, 940.0, 36.0], nPbJ2fy18y, 5743533]
[paragraph, [192.0, 866.0, 940.0, 36.0], nPbJ2fy18y, 5743533]
[paragraph, [192.0, 902.0, 940.0, 36.0], nPbJ2fy18y, 5743533]
[paragraph, [192.0, 938.0, 940.0, 36.0], nPbJ2fy18y, 5743533]
[paragraph, [192.0, 974.0, 940.0, 36.0], nPbJ2fy18y, 5743533]
[paragraph, [192.0, 1010.0, 940.0, 36.0], nPbJ2fy18y, 5743533]
[paragraph, [192.0, 1046.0, 940.0, 36.0], nPbJ2fy18y, 5743533]
[paragraph, [192.0, 1082.0, 940.0, 36.0], nPbJ2fy18y, 5743533]
[paragraph, [192.0, 1118.0, 940.0, 36.0], nPbJ2fy18y, 5743533]
[paragraph, [192.0, 1252.0, 940.0, 36.0], rC9D8a0lGL, 5743533]
[paragraph, [192.0, 1288.0, 940.0, 36.0], rC9D8a0lGL, 5743533]
[paragraph, [192.0, 1324.0, 940.0, 36.0], rC9D8a0lGL, 5743533]
[paragraph, [192.0, 1360.0, 940.0, 36.0], rC9D8a0lGL, 5743533]
[paragraph, [192.0, 1396.0, 940.0, 36.0], rC9D8a0lGL, 5743533]
[paragraph, [192.0, 1432.0, 940.0, 36.0], rC9D8a0lGL, 5743533]
[paragraph, [192.0, 1468.0, 940.0, 36.0], rC9D8a0lGL, 5743533]
[paragraph, [192.0, 1504.0, 940.0, 36.0], rC9D8a0lGL, 5743533]
[paragraph, [192.0, 1540.0, 940.0, 36.0], rC9D8a0lGL, 5743533]
[paragraph, [192.0, 1576.0, 940.0, 36.0], rC9D8a0lGL, 5743533]
