[1725, 1313]
[headline, [0.0, 161.0, 1119.0, 37.5], shoonya_7sU48T25AAVNOB, 5771604]
[headline, [0.0, 198.5, 1119.0, 37.5], shoonya_7sU48T25AAVNOB, 5771604]
[headline, [0.0, 236.0, 1119.0, 37.5], shoonya_7sU48T25AAVNOB, 5771604]
[headline, [0.0, 273.5, 1119.0, 37.5], shoonya_7sU48T25AAVNOB, 5771604]
[paragraph, [120.0, 336.0, 526.0, 36.0], shoonya_4sZRLC2U9SGZ1I, 5771604]
[paragraph, [120.0, 372.0, 526.0, 36.0], shoonya_4sZRLC2U9SGZ1I, 5771604]
[paragraph, [120.0, 408.0, 526.0, 36.0], shoonya_4sZRLC2U9SGZ1I, 5771604]
[paragraph, [120.0, 444.0, 526.0, 36.0], shoonya_4sZRLC2U9SGZ1I, 5771604]
[paragraph, [120.0, 480.0, 526.0, 36.0], shoonya_4sZRLC2U9SGZ1I, 5771604]
[paragraph, [120.0, 516.0, 526.0, 36.0], shoonya_4sZRLC2U9SGZ1I, 5771604]
[paragraph, [120.0, 552.0, 526.0, 36.0], shoonya_4sZRLC2U9SGZ1I, 5771604]
[paragraph, [661.0, 342.0, 231.0, 36.0], shoonya_8sDXC816WSCJKL, 5771604]
[paragraph, [661.0, 378.0, 231.0, 36.0], shoonya_8sDXC816WSCJKL, 5771604]
[paragraph, [661.0, 414.0, 231.0, 36.0], shoonya_8sDXC816WSCJKL, 5771604]
[paragraph, [661.0, 450.0, 231.0, 36.0], shoonya_8sDXC816WSCJKL, 5771604]
[paragraph, [661.0, 486.0, 231.0, 36.0], shoonya_8sDXC816WSCJKL, 5771604]
[paragraph, [661.0, 558.0, 231.0, 36.0], shoonya_8sDXC816WSCJKL, 5771604]
[paragraph, [661.0, 594.0, 231.0, 36.0], shoonya_8sDXC816WSCJKL, 5771604]
[paragraph, [661.0, 630.0, 231.0, 36.0], shoonya_8sDXC816WSCJKL, 5771604]
[paragraph, [661.0, 666.0, 231.0, 36.0], shoonya_8sDXC816WSCJKL, 5771604]
[paragraph, [661.0, 702.0, 231.0, 36.0], shoonya_8sDXC816WSCJKL, 5771604]
[paragraph, [661.0, 738.0, 231.0, 36.0], shoonya_8sDXC816WSCJKL, 5771604]
[paragraph, [661.0, 774.0, 231.0, 36.0], shoonya_8sDXC816WSCJKL, 5771604]
[paragraph, [661.0, 810.0, 231.0, 36.0], shoonya_8sDXC816WSCJKL, 5771604]
[paragraph, [661.0, 846.0, 231.0, 36.0], shoonya_8sDXC816WSCJKL, 5771604]
[paragraph, [120.0, 603.0, 527.0, 36.0], shoonya_2sFLSDM1KUPFA9, 5771604]
[paragraph, [120.0, 639.0, 527.0, 36.0], shoonya_2sFLSDM1KUPFA9, 5771604]
[paragraph, [120.0, 675.0, 527.0, 36.0], shoonya_2sFLSDM1KUPFA9, 5771604]
[paragraph, [120.0, 711.0, 527.0, 36.0], shoonya_2sFLSDM1KUPFA9, 5771604]
[paragraph, [120.0, 747.0, 527.0, 36.0], shoonya_2sFLSDM1KUPFA9, 5771604]
[paragraph, [120.0, 783.0, 527.0, 36.0], shoonya_2sFLSDM1KUPFA9, 5771604]
[paragraph, [120.0, 819.0, 527.0, 36.0], shoonya_2sFLSDM1KUPFA9, 5771604]
[paragraph, [120.0, 855.0, 527.0, 36.0], shoonya_2sFLSDM1KUPFA9, 5771604]
[paragraph, [120.0, 891.0, 527.0, 36.0], shoonya_2sFLSDM1KUPFA9, 5771604]
[paragraph, [665.0, 902.0, 487.0, 36.0], shoonya_3sVBVG5N9V1PN1, 5771604]
