[3509, 2480]
[paragraph, [341.0, 393.0, 1810.0, 52.5], yUf2i5gTzn, 5724303]
[paragraph, [341.0, 445.5, 1810.0, 52.5], yUf2i5gTzn, 5724303]
[paragraph, [341.0, 498.0, 1810.0, 52.5], yUf2i5gTzn, 5724303]
[paragraph, [337.0, 625.0, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [337.0, 677.5, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [337.0, 730.0, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [337.0, 782.5, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [337.0, 835.0, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [337.0, 887.5, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [337.0, 940.0, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [337.0, 992.5, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [337.0, 1045.0, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [337.0, 1097.5, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [337.0, 1150.0, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [337.0, 1202.5, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [337.0, 1255.0, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [337.0, 1307.5, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [337.0, 1360.0, 1819.0, 52.5], cgK8ilSafe, 5724303]
[paragraph, [341.0, 1458.0, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 1510.5, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 1563.0, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 1615.5, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 1668.0, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 1720.5, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 1773.0, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 1825.5, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 1878.0, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 1930.5, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 1983.0, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 2035.5, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 2088.0, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 2140.5, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 2193.0, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 2245.5, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 2298.0, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 2350.5, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 2403.0, 1810.0, 52.5], 44zFKzASlF, 5724303]
[paragraph, [341.0, 2455.5, 1810.0, 52.5], 44zFKzASlF, 5724303]
[footnote, [367.0, 2699.0, 1744.0, 52.5], shoonya_0sLNXA3CZF9MCT, 5724303]
[footnote, [367.0, 2751.5, 1744.0, 52.5], shoonya_0sLNXA3CZF9MCT, 5724303]
[footnote, [367.0, 2804.0, 1744.0, 52.5], shoonya_0sLNXA3CZF9MCT, 5724303]
[footnote, [367.0, 2856.5, 1744.0, 52.5], shoonya_0sLNXA3CZF9MCT, 5724303]
[footnote, [367.0, 2909.0, 1744.0, 52.5], shoonya_0sLNXA3CZF9MCT, 5724303]
[footnote, [367.0, 2961.5, 1744.0, 52.5], shoonya_0sLNXA3CZF9MCT, 5724303]
[footnote, [367.0, 3014.0, 1744.0, 52.5], shoonya_0sLNXA3CZF9MCT, 5724303]
[footnote, [367.0, 3066.5, 1744.0, 52.5], shoonya_0sLNXA3CZF9MCT, 5724303]
