[1063, 680]
[paragraph, [62.0, 123.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 141.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 159.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 177.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 195.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 213.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 231.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 249.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 267.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 285.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 303.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 321.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 339.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 357.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 375.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 393.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 411.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 429.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 447.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 465.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 483.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 501.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 519.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 537.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 555.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 573.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 591.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 609.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 627.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 645.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [62.0, 663.0, 557.0, 18.0], ylv7E_CfQv, 5739867]
[paragraph, [63.0, 688.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 706.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 724.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 742.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 760.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 778.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 796.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 814.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 832.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 850.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 868.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 886.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 904.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 922.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 940.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[paragraph, [63.0, 958.0, 561.0, 18.0], 2_UILJNpob, 5739867]
[footnote, [451.0, 1010.0, 187.0, 18.0], Z9G8vuJhYm, 5739867]
[footnote, [451.0, 1028.0, 187.0, 18.0], Z9G8vuJhYm, 5739867]
