[1755, 1240]
[folio, [637.0, 76.0, 484.0, 36.0], SmQGrJ9GQg, 5743714]
[paragraph, [195.0, 208.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 244.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 280.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 316.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 352.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 388.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 424.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 460.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 496.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 532.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 568.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 604.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 640.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 676.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 712.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 748.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 784.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 820.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 856.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 892.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 928.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 964.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 1000.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 1036.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 1072.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 1108.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 1144.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 1180.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [195.0, 1216.0, 942.0, 36.0], shoonya_2sREAT97W2VWMP, 5743714]
[paragraph, [200.0, 1282.0, 927.0, 36.0], shoonya_3sONHETU4F8686, 5743714]
[paragraph, [200.0, 1318.0, 927.0, 36.0], shoonya_3sONHETU4F8686, 5743714]
[paragraph, [200.0, 1354.0, 927.0, 36.0], shoonya_3sONHETU4F8686, 5743714]
[paragraph, [200.0, 1390.0, 927.0, 36.0], shoonya_3sONHETU4F8686, 5743714]
[paragraph, [200.0, 1426.0, 927.0, 36.0], shoonya_3sONHETU4F8686, 5743714]
