[1650, 934]
[folio, [342.0, 117.0, 241.0, 36.0], -Ipco4NHhm, 5765994]
[paragraph, [44.0, 176.0, 821.0, 36.0], shoonya_0sEHNH1U39USW5, 5765994]
[paragraph, [44.0, 212.0, 821.0, 36.0], shoonya_0sEHNH1U39USW5, 5765994]
[paragraph, [44.0, 248.0, 821.0, 36.0], shoonya_0sEHNH1U39USW5, 5765994]
[paragraph, [44.0, 284.0, 821.0, 36.0], shoonya_0sEHNH1U39USW5, 5765994]
[paragraph, [44.0, 320.0, 821.0, 36.0], shoonya_0sEHNH1U39USW5, 5765994]
[paragraph, [44.0, 356.0, 821.0, 36.0], shoonya_0sEHNH1U39USW5, 5765994]
[paragraph, [44.0, 392.0, 821.0, 36.0], shoonya_0sEHNH1U39USW5, 5765994]
[paragraph, [44.0, 428.0, 821.0, 36.0], shoonya_0sEHNH1U39USW5, 5765994]
[paragraph, [44.0, 464.0, 821.0, 36.0], shoonya_0sEHNH1U39USW5, 5765994]
[paragraph, [44.0, 500.0, 821.0, 36.0], shoonya_0sEHNH1U39USW5, 5765994]
[paragraph, [46.0, 544.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 580.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 616.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 652.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 688.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 724.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 760.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 796.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 832.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 868.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 904.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 940.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 976.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 1012.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 1048.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 1084.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 1120.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 1156.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 1192.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 1228.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 1264.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [46.0, 1300.0, 805.0, 36.0], He4unemra6, 5765994]
[paragraph, [43.0, 1353.0, 806.0, 36.0], BblrroN2PP, 5765994]
[paragraph, [43.0, 1389.0, 806.0, 36.0], BblrroN2PP, 5765994]
[paragraph, [43.0, 1425.0, 806.0, 36.0], BblrroN2PP, 5765994]
[paragraph, [43.0, 1461.0, 806.0, 36.0], BblrroN2PP, 5765994]
