[581, 402]
[section-title, [78.0, 87.0, 229.0, 30.0], ZmeKNKpkFr, 6495691]
[paragraph, [15.0, 141.0, 349.0, 18.0], shoonya_0sV777ZK5T3BX4, 6495691]
[paragraph, [15.0, 159.0, 349.0, 18.0], shoonya_0sV777ZK5T3BX4, 6495691]
[paragraph, [15.0, 177.0, 349.0, 18.0], shoonya_0sV777ZK5T3BX4, 6495691]
[paragraph, [13.0, 200.0, 360.0, 18.0], bocOon1Zq7, 6495691]
[paragraph, [13.0, 218.0, 360.0, 18.0], bocOon1Zq7, 6495691]
[paragraph, [20.0, 250.0, 352.0, 18.0], eAnjDguHt0, 6495691]
[paragraph, [20.0, 268.0, 352.0, 18.0], eAnjDguHt0, 6495691]
[paragraph, [20.0, 286.0, 352.0, 18.0], eAnjDguHt0, 6495691]
[paragraph, [19.0, 320.0, 351.0, 18.0], _kZJPaoIym, 6495691]
[paragraph, [17.0, 356.0, 349.0, 18.0], DvA_1Ty3--, 6495691]
[paragraph, [17.0, 374.0, 349.0, 18.0], DvA_1Ty3--, 6495691]
[paragraph, [18.0, 407.0, 351.0, 18.0], T1NJBbXOpe, 6495691]
[paragraph, [18.0, 425.0, 351.0, 18.0], T1NJBbXOpe, 6495691]
[paragraph, [18.0, 443.0, 351.0, 18.0], T1NJBbXOpe, 6495691]
[paragraph, [23.0, 475.0, 352.0, 18.0], srewkdICSA, 6495691]
[paragraph, [23.0, 493.0, 352.0, 18.0], srewkdICSA, 6495691]
