[1755, 1240]
[paragraph, [214.0, 145.0, 891.0, 36.0], shoonya_1sQ8RK66M8V4JB, 5693494]
[paragraph, [214.0, 181.0, 891.0, 36.0], shoonya_1sQ8RK66M8V4JB, 5693494]
[paragraph, [214.0, 217.0, 891.0, 36.0], shoonya_1sQ8RK66M8V4JB, 5693494]
[paragraph, [214.0, 253.0, 891.0, 36.0], shoonya_1sQ8RK66M8V4JB, 5693494]
[paragraph, [214.0, 289.0, 891.0, 36.0], shoonya_1sQ8RK66M8V4JB, 5693494]
[paragraph, [214.0, 325.0, 891.0, 36.0], shoonya_1sQ8RK66M8V4JB, 5693494]
[paragraph, [214.0, 361.0, 891.0, 36.0], shoonya_1sQ8RK66M8V4JB, 5693494]
[paragraph, [217.0, 453.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 489.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 525.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 561.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 597.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 633.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 669.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 705.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 741.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 777.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 813.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 849.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 885.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 921.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 957.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 993.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 1029.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 1065.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 1101.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 1137.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 1173.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 1209.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 1245.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 1281.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 1317.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 1353.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 1389.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
[paragraph, [217.0, 1425.0, 881.0, 36.0], shoonya_0sM339ACXTT6I4, 5693494]
