[2339, 1653]
[paragraph, [319.0, 151.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 187.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 223.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 259.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 295.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 331.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 367.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 403.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 439.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 475.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 511.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 547.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 583.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 619.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 655.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 691.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 727.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 763.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 799.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 835.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 871.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 907.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 943.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 979.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1015.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1051.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1087.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1123.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1159.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1195.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1231.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1267.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1303.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1339.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1375.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1411.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1447.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1483.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1519.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1555.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1591.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1627.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1663.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1699.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1735.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1771.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1807.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [319.0, 1843.0, 1146.0, 36.0], shoonya_1sL7524KA2JQQH, 5733808]
[paragraph, [324.0, 1888.0, 1137.0, 36.0], shoonya_0sN19WK0W818X2, 5733808]
[paragraph, [324.0, 1924.0, 1137.0, 36.0], shoonya_0sN19WK0W818X2, 5733808]
[paragraph, [324.0, 1960.0, 1137.0, 36.0], shoonya_0sN19WK0W818X2, 5733808]
[paragraph, [324.0, 1996.0, 1137.0, 36.0], shoonya_0sN19WK0W818X2, 5733808]
[paragraph, [324.0, 2032.0, 1137.0, 36.0], shoonya_0sN19WK0W818X2, 5733808]
[folio, [1180.0, 2155.0, 185.0, 36.0], HRomSKWlEW, 5733808]
