[4767, 3325]
[folio, [276.0, 360.0, 603.0, 52.5], ZO1KQuLqSm, 5710430]
[folio, [276.0, 412.5, 603.0, 52.5], ZO1KQuLqSm, 5710430]
[paragraph, [281.0, 509.0, 2344.0, 52.5], shoonya_3sA0SYUBJLNVN3, 5710430]
[paragraph, [281.0, 561.5, 2344.0, 52.5], shoonya_3sA0SYUBJLNVN3, 5710430]
[paragraph, [281.0, 614.0, 2344.0, 52.5], shoonya_3sA0SYUBJLNVN3, 5710430]
[paragraph, [281.0, 666.5, 2344.0, 52.5], shoonya_3sA0SYUBJLNVN3, 5710430]
[paragraph, [281.0, 719.0, 2344.0, 52.5], shoonya_3sA0SYUBJLNVN3, 5710430]
[paragraph, [281.0, 771.5, 2344.0, 52.5], shoonya_3sA0SYUBJLNVN3, 5710430]
[paragraph, [281.0, 824.0, 2344.0, 52.5], shoonya_3sA0SYUBJLNVN3, 5710430]
[paragraph, [281.0, 876.5, 2344.0, 52.5], shoonya_3sA0SYUBJLNVN3, 5710430]
[paragraph, [281.0, 929.0, 2344.0, 52.5], shoonya_3sA0SYUBJLNVN3, 5710430]
[paragraph, [281.0, 981.5, 2344.0, 52.5], shoonya_3sA0SYUBJLNVN3, 5710430]
[paragraph, [281.0, 1034.0, 2344.0, 52.5], shoonya_3sA0SYUBJLNVN3, 5710430]
[paragraph, [180.0, 1099.0, 2532.0, 52.5], p54Q3SUKc7, 5710430]
[paragraph, [180.0, 1151.5, 2532.0, 52.5], p54Q3SUKc7, 5710430]
[paragraph, [180.0, 1204.0, 2532.0, 52.5], p54Q3SUKc7, 5710430]
[paragraph, [180.0, 1256.5, 2532.0, 52.5], p54Q3SUKc7, 5710430]
[paragraph, [180.0, 1309.0, 2532.0, 52.5], p54Q3SUKc7, 5710430]
[paragraph, [180.0, 1361.5, 2532.0, 52.5], p54Q3SUKc7, 5710430]
[paragraph, [180.0, 1414.0, 2532.0, 52.5], p54Q3SUKc7, 5710430]
