[1298, 853]
[section-title, [310.0, 71.0, 233.0, 30.0], shoonya_4sFR11DD515U3X, 5710074]
[paragraph, [65.0, 115.0, 724.0, 18.0], shoonya_1sIOX1V4MLYVTX, 5710074]
[paragraph, [65.0, 133.0, 724.0, 18.0], shoonya_1sIOX1V4MLYVTX, 5710074]
[paragraph, [65.0, 151.0, 724.0, 18.0], shoonya_1sIOX1V4MLYVTX, 5710074]
[paragraph, [65.0, 169.0, 724.0, 18.0], shoonya_1sIOX1V4MLYVTX, 5710074]
[paragraph, [65.0, 187.0, 724.0, 18.0], shoonya_1sIOX1V4MLYVTX, 5710074]
[paragraph, [65.0, 205.0, 724.0, 18.0], shoonya_1sIOX1V4MLYVTX, 5710074]
[paragraph, [65.0, 223.0, 724.0, 18.0], shoonya_1sIOX1V4MLYVTX, 5710074]
[paragraph, [65.0, 241.0, 724.0, 18.0], shoonya_1sIOX1V4MLYVTX, 5710074]
[paragraph, [65.0, 259.0, 724.0, 18.0], shoonya_1sIOX1V4MLYVTX, 5710074]
[paragraph, [65.0, 277.0, 724.0, 18.0], shoonya_1sIOX1V4MLYVTX, 5710074]
[paragraph, [65.0, 295.0, 724.0, 18.0], shoonya_1sIOX1V4MLYVTX, 5710074]
[paragraph, [65.0, 313.0, 724.0, 18.0], shoonya_1sIOX1V4MLYVTX, 5710074]
[paragraph, [62.0, 335.0, 726.0, 18.0], shoonya_2s0S7LEXDRNJMN, 5710074]
[paragraph, [62.0, 353.0, 726.0, 18.0], shoonya_2s0S7LEXDRNJMN, 5710074]
[paragraph, [62.0, 371.0, 726.0, 18.0], shoonya_2s0S7LEXDRNJMN, 5710074]
[paragraph, [62.0, 389.0, 726.0, 18.0], shoonya_2s0S7LEXDRNJMN, 5710074]
[paragraph, [62.0, 407.0, 726.0, 18.0], shoonya_2s0S7LEXDRNJMN, 5710074]
[paragraph, [62.0, 425.0, 726.0, 18.0], shoonya_2s0S7LEXDRNJMN, 5710074]
[paragraph, [62.0, 443.0, 726.0, 18.0], shoonya_2s0S7LEXDRNJMN, 5710074]
[paragraph, [62.0, 461.0, 726.0, 18.0], shoonya_2s0S7LEXDRNJMN, 5710074]
[paragraph, [62.0, 479.0, 726.0, 18.0], shoonya_2s0S7LEXDRNJMN, 5710074]
[paragraph, [62.0, 497.0, 726.0, 18.0], shoonya_2s0S7LEXDRNJMN, 5710074]
[paragraph, [62.0, 515.0, 726.0, 18.0], shoonya_2s0S7LEXDRNJMN, 5710074]
[paragraph, [62.0, 533.0, 726.0, 18.0], shoonya_2s0S7LEXDRNJMN, 5710074]
[paragraph, [62.0, 551.0, 726.0, 18.0], shoonya_2s0S7LEXDRNJMN, 5710074]
[paragraph, [62.0, 588.0, 731.0, 18.0], shoonya_0sX8JQRR1Y4H9A, 5710074]
[paragraph, [62.0, 606.0, 731.0, 18.0], shoonya_0sX8JQRR1Y4H9A, 5710074]
