[1754, 1241]
[paragraph, [217.0, 145.0, 884.0, 36.0], shoonya_2s58NODOUDM68W, 6471016]
[paragraph, [217.0, 181.0, 884.0, 36.0], shoonya_2s58NODOUDM68W, 6471016]
[paragraph, [208.0, 336.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 372.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 408.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 444.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 480.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 516.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 552.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 588.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 624.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 660.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 696.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 732.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 768.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 804.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 840.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 876.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 912.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 948.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 984.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 1020.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 1056.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 1092.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 1128.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 1164.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 1200.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 1236.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 1272.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 1308.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 1344.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 1380.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[paragraph, [208.0, 1416.0, 899.0, 36.0], shoonya_0sOVITH6WNPHFJ, 6471016]
[footnote, [217.0, 1539.0, 876.0, 36.0], shoonya_3s6RAPZF22JVBQ, 6471016]
