[1565, 1152]
[headline, [198.0, 97.0, 531.0, 37.5], shoonya_5s4C46QKM5OQKO, 5722622]
[paragraph, [87.0, 157.0, 709.0, 36.0], shoonya_2sAETTXUOO1W92, 5722622]
[paragraph, [87.0, 193.0, 709.0, 36.0], shoonya_2sAETTXUOO1W92, 5722622]
[paragraph, [87.0, 229.0, 709.0, 36.0], shoonya_2sAETTXUOO1W92, 5722622]
[paragraph, [87.0, 265.0, 709.0, 36.0], shoonya_2sAETTXUOO1W92, 5722622]
[paragraph, [87.0, 301.0, 709.0, 36.0], shoonya_2sAETTXUOO1W92, 5722622]
[folio, [846.0, 235.0, 173.0, 36.0], shoonya_11s6I4AYII4QUC, 5722622]
[folio, [846.0, 271.0, 173.0, 36.0], shoonya_11s6I4AYII4QUC, 5722622]
[paragraph, [86.0, 358.0, 975.0, 36.0], shoonya_3sLV077XZ66HZ2, 5722622]
[paragraph, [86.0, 394.0, 975.0, 36.0], shoonya_3sLV077XZ66HZ2, 5722622]
[paragraph, [86.0, 430.0, 975.0, 36.0], shoonya_3sLV077XZ66HZ2, 5722622]
[paragraph, [86.0, 466.0, 975.0, 36.0], shoonya_3sLV077XZ66HZ2, 5722622]
[paragraph, [86.0, 514.0, 972.0, 36.0], shoonya_0s21HBCHCAQRGR, 5722622]
[paragraph, [86.0, 550.0, 972.0, 36.0], shoonya_0s21HBCHCAQRGR, 5722622]
[paragraph, [86.0, 586.0, 972.0, 36.0], shoonya_0s21HBCHCAQRGR, 5722622]
[paragraph, [86.0, 622.0, 972.0, 36.0], shoonya_0s21HBCHCAQRGR, 5722622]
[paragraph, [85.0, 689.0, 975.0, 36.0], shoonya_4sY7WL0T4HBC06, 5722622]
[paragraph, [85.0, 725.0, 975.0, 36.0], shoonya_4sY7WL0T4HBC06, 5722622]
[paragraph, [85.0, 761.0, 975.0, 36.0], shoonya_4sY7WL0T4HBC06, 5722622]
[paragraph, [85.0, 797.0, 975.0, 36.0], shoonya_4sY7WL0T4HBC06, 5722622]
[paragraph, [85.0, 833.0, 975.0, 36.0], shoonya_4sY7WL0T4HBC06, 5722622]
[paragraph, [85.0, 869.0, 975.0, 36.0], shoonya_4sY7WL0T4HBC06, 5722622]
[paragraph, [85.0, 905.0, 975.0, 36.0], shoonya_4sY7WL0T4HBC06, 5722622]
[paragraph, [85.0, 941.0, 975.0, 36.0], shoonya_4sY7WL0T4HBC06, 5722622]
[paragraph, [85.0, 977.0, 975.0, 36.0], shoonya_4sY7WL0T4HBC06, 5722622]
[paragraph, [85.0, 1013.0, 975.0, 36.0], shoonya_4sY7WL0T4HBC06, 5722622]
[paragraph, [85.0, 1061.0, 973.0, 36.0], shoonya_1sEV51ACO2J7VI, 5722622]
[paragraph, [85.0, 1097.0, 973.0, 36.0], shoonya_1sEV51ACO2J7VI, 5722622]
[paragraph, [85.0, 1133.0, 973.0, 36.0], shoonya_1sEV51ACO2J7VI, 5722622]
[paragraph, [85.0, 1169.0, 973.0, 36.0], shoonya_1sEV51ACO2J7VI, 5722622]
[paragraph, [85.0, 1205.0, 973.0, 36.0], shoonya_1sEV51ACO2J7VI, 5722622]
[paragraph, [85.0, 1241.0, 973.0, 36.0], shoonya_1sEV51ACO2J7VI, 5722622]
[paragraph, [85.0, 1277.0, 973.0, 36.0], shoonya_1sEV51ACO2J7VI, 5722622]
[paragraph, [85.0, 1313.0, 973.0, 36.0], shoonya_1sEV51ACO2J7VI, 5722622]
[paragraph, [85.0, 1349.0, 973.0, 36.0], shoonya_1sEV51ACO2J7VI, 5722622]
[paragraph, [85.0, 1388.0, 977.0, 36.0], shoonya_7s69EXMIENCT0Q, 5722622]
[paragraph, [85.0, 1424.0, 977.0, 36.0], shoonya_7s69EXMIENCT0Q, 5722622]
