[2339, 1656]
[paragraph, [181.0, 186.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 222.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 258.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 294.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 330.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 366.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 402.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 438.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 474.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 510.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 546.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 582.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 618.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 654.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 690.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 726.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 762.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 798.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 834.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 870.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 906.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 942.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 978.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 1014.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 1050.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 1086.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 1122.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 1158.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [181.0, 1194.0, 1285.0, 36.0], shoonya_1s2N0ZSU2RI4EH, 5731765]
[paragraph, [186.0, 1252.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1288.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1324.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1360.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1396.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1432.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1468.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1504.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1540.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1576.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1612.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1648.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1684.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1720.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1756.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1792.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1828.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1864.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1900.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [186.0, 1936.0, 1278.0, 36.0], shoonya_0sKSZCHWC3ZKKM, 5731765]
[paragraph, [189.0, 2009.0, 1275.0, 36.0], shoonya_2s80SM5D8OMF5X, 5731765]
[paragraph, [189.0, 2045.0, 1275.0, 36.0], shoonya_2s80SM5D8OMF5X, 5731765]
[paragraph, [189.0, 2081.0, 1275.0, 36.0], shoonya_2s80SM5D8OMF5X, 5731765]
