[1565, 1152]
[headline, [66.0, 125.0, 552.0, 37.5], s3pDQgrN3Q, 5712900]
[headline, [66.0, 162.5, 552.0, 37.5], s3pDQgrN3Q, 5712900]
[headline, [66.0, 200.0, 552.0, 37.5], s3pDQgrN3Q, 5712900]
[headline, [66.0, 237.5, 552.0, 37.5], s3pDQgrN3Q, 5712900]
[headline, [66.0, 275.0, 552.0, 37.5], s3pDQgrN3Q, 5712900]
[headline, [66.0, 312.5, 552.0, 37.5], s3pDQgrN3Q, 5712900]
[headline, [66.0, 350.0, 552.0, 37.5], s3pDQgrN3Q, 5712900]
[headline, [66.0, 387.5, 552.0, 37.5], s3pDQgrN3Q, 5712900]
[paragraph, [102.0, 471.0, 417.0, 36.0], shoonya_0s1NOSAQWQ5H09, 5712900]
[paragraph, [102.0, 507.0, 417.0, 36.0], shoonya_0s1NOSAQWQ5H09, 5712900]
[paragraph, [102.0, 543.0, 417.0, 36.0], shoonya_0s1NOSAQWQ5H09, 5712900]
[paragraph, [102.0, 579.0, 417.0, 36.0], shoonya_0s1NOSAQWQ5H09, 5712900]
[paragraph, [102.0, 615.0, 417.0, 36.0], shoonya_0s1NOSAQWQ5H09, 5712900]
[paragraph, [102.0, 651.0, 417.0, 36.0], shoonya_0s1NOSAQWQ5H09, 5712900]
[paragraph, [102.0, 687.0, 417.0, 36.0], shoonya_0s1NOSAQWQ5H09, 5712900]
[paragraph, [102.0, 723.0, 417.0, 36.0], shoonya_0s1NOSAQWQ5H09, 5712900]
[paragraph, [102.0, 759.0, 417.0, 36.0], shoonya_0s1NOSAQWQ5H09, 5712900]
[paragraph, [102.0, 795.0, 417.0, 36.0], shoonya_0s1NOSAQWQ5H09, 5712900]
[paragraph, [102.0, 831.0, 417.0, 36.0], shoonya_0s1NOSAQWQ5H09, 5712900]
[paragraph, [102.0, 867.0, 417.0, 36.0], shoonya_0s1NOSAQWQ5H09, 5712900]
[paragraph, [102.0, 903.0, 417.0, 36.0], shoonya_0s1NOSAQWQ5H09, 5712900]
[paragraph, [102.0, 939.0, 417.0, 36.0], shoonya_0s1NOSAQWQ5H09, 5712900]
[paragraph, [102.0, 983.0, 419.0, 36.0], shoonya_1sROHC13EE2160, 5712900]
[paragraph, [102.0, 1019.0, 419.0, 36.0], shoonya_1sROHC13EE2160, 5712900]
[paragraph, [102.0, 1055.0, 419.0, 36.0], shoonya_1sROHC13EE2160, 5712900]
[paragraph, [102.0, 1091.0, 419.0, 36.0], shoonya_1sROHC13EE2160, 5712900]
[paragraph, [102.0, 1127.0, 419.0, 36.0], shoonya_1sROHC13EE2160, 5712900]
[paragraph, [102.0, 1163.0, 419.0, 36.0], shoonya_1sROHC13EE2160, 5712900]
[paragraph, [102.0, 1199.0, 419.0, 36.0], shoonya_1sROHC13EE2160, 5712900]
[paragraph, [102.0, 1235.0, 419.0, 36.0], shoonya_1sROHC13EE2160, 5712900]
[paragraph, [102.0, 1271.0, 419.0, 36.0], shoonya_1sROHC13EE2160, 5712900]
[paragraph, [102.0, 1307.0, 419.0, 36.0], shoonya_1sROHC13EE2160, 5712900]
[paragraph, [102.0, 1343.0, 419.0, 36.0], shoonya_1sROHC13EE2160, 5712900]
[paragraph, [102.0, 1379.0, 419.0, 36.0], shoonya_1sROHC13EE2160, 5712900]
[paragraph, [524.0, 1092.0, 507.0, 36.0], shoonya_4sVF0X51JVDSR7, 5712900]
[paragraph, [524.0, 1128.0, 507.0, 36.0], shoonya_4sVF0X51JVDSR7, 5712900]
[paragraph, [524.0, 1164.0, 507.0, 36.0], shoonya_4sVF0X51JVDSR7, 5712900]
[paragraph, [524.0, 1200.0, 507.0, 36.0], shoonya_4sVF0X51JVDSR7, 5712900]
[paragraph, [526.0, 1237.0, 506.0, 36.0], KAnNC1AQCT, 5712900]
[paragraph, [526.0, 1273.0, 506.0, 36.0], KAnNC1AQCT, 5712900]
[paragraph, [526.0, 1309.0, 506.0, 36.0], KAnNC1AQCT, 5712900]
[paragraph, [526.0, 1345.0, 506.0, 36.0], KAnNC1AQCT, 5712900]
[paragraph, [526.0, 1381.0, 506.0, 36.0], KAnNC1AQCT, 5712900]
