[1650, 1275]
[folio, [173.0, 74.0, 299.0, 36.0], suV_CQZ5yr, 6472312]
[paragraph, [479.0, 172.0, 288.0, 36.0], xy2DnCxnuY, 6472312]
[paragraph, [479.0, 208.0, 288.0, 36.0], xy2DnCxnuY, 6472312]
[paragraph, [479.0, 244.0, 288.0, 36.0], xy2DnCxnuY, 6472312]
[paragraph, [479.0, 280.0, 288.0, 36.0], xy2DnCxnuY, 6472312]
[paragraph, [479.0, 316.0, 288.0, 36.0], xy2DnCxnuY, 6472312]
[paragraph, [479.0, 352.0, 288.0, 36.0], xy2DnCxnuY, 6472312]
[paragraph, [479.0, 388.0, 288.0, 36.0], xy2DnCxnuY, 6472312]
[paragraph, [479.0, 424.0, 288.0, 36.0], xy2DnCxnuY, 6472312]
[paragraph, [479.0, 460.0, 288.0, 36.0], xy2DnCxnuY, 6472312]
[section-title, [799.0, 189.0, 208.0, 49.5], hL_M8XQxxn, 6472312]
[paragraph, [805.0, 254.0, 269.0, 36.0], 1rY41KQdnh, 6472312]
[paragraph, [805.0, 290.0, 269.0, 36.0], 1rY41KQdnh, 6472312]
[paragraph, [805.0, 326.0, 269.0, 36.0], 1rY41KQdnh, 6472312]
[paragraph, [805.0, 362.0, 269.0, 36.0], 1rY41KQdnh, 6472312]
[paragraph, [805.0, 398.0, 269.0, 36.0], 1rY41KQdnh, 6472312]
[paragraph, [479.0, 497.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 533.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 569.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 605.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 641.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 677.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 713.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 749.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 785.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 821.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 857.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 893.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 929.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 965.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 1001.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[paragraph, [479.0, 1037.0, 289.0, 36.0], Hb-gEu0C2w, 6472312]
[section-title, [815.0, 498.0, 226.0, 49.5], UbeG6U2T_Z, 6472312]
[paragraph, [818.0, 578.0, 217.0, 36.0], mpLsUeFKre, 6472312]
[paragraph, [818.0, 614.0, 217.0, 36.0], mpLsUeFKre, 6472312]
[paragraph, [818.0, 650.0, 217.0, 36.0], mpLsUeFKre, 6472312]
[paragraph, [818.0, 686.0, 217.0, 36.0], mpLsUeFKre, 6472312]
[paragraph, [818.0, 722.0, 217.0, 36.0], mpLsUeFKre, 6472312]
[section-title, [176.0, 579.0, 282.0, 49.5], DnwOA2J7D3, 6472312]
[paragraph, [176.0, 646.0, 284.0, 36.0], YalboHm1M3, 6472312]
[paragraph, [176.0, 682.0, 284.0, 36.0], YalboHm1M3, 6472312]
[paragraph, [176.0, 718.0, 284.0, 36.0], YalboHm1M3, 6472312]
[paragraph, [176.0, 754.0, 284.0, 36.0], YalboHm1M3, 6472312]
[paragraph, [176.0, 790.0, 284.0, 36.0], YalboHm1M3, 6472312]
[paragraph, [176.0, 826.0, 284.0, 36.0], YalboHm1M3, 6472312]
[paragraph, [176.0, 862.0, 284.0, 36.0], YalboHm1M3, 6472312]
[paragraph, [816.0, 786.0, 224.0, 36.0], 4ROQYEY2OJ, 6472312]
[paragraph, [816.0, 822.0, 224.0, 36.0], 4ROQYEY2OJ, 6472312]
[paragraph, [816.0, 858.0, 224.0, 36.0], 4ROQYEY2OJ, 6472312]
[paragraph, [816.0, 894.0, 224.0, 36.0], 4ROQYEY2OJ, 6472312]
[paragraph, [816.0, 930.0, 224.0, 36.0], 4ROQYEY2OJ, 6472312]
[paragraph, [816.0, 966.0, 224.0, 36.0], 4ROQYEY2OJ, 6472312]
[paragraph, [816.0, 1002.0, 224.0, 36.0], 4ROQYEY2OJ, 6472312]
[paragraph, [175.0, 919.0, 287.0, 36.0], 7r3PVCS6mC, 6472312]
[paragraph, [175.0, 955.0, 287.0, 36.0], 7r3PVCS6mC, 6472312]
[paragraph, [175.0, 991.0, 287.0, 36.0], 7r3PVCS6mC, 6472312]
[paragraph, [175.0, 1027.0, 287.0, 36.0], 7r3PVCS6mC, 6472312]
[paragraph, [175.0, 1063.0, 287.0, 36.0], 7r3PVCS6mC, 6472312]
[paragraph, [175.0, 1099.0, 287.0, 36.0], 7r3PVCS6mC, 6472312]
[paragraph, [175.0, 1135.0, 287.0, 36.0], 7r3PVCS6mC, 6472312]
[paragraph, [175.0, 1171.0, 287.0, 36.0], 7r3PVCS6mC, 6472312]
[paragraph, [175.0, 1207.0, 287.0, 36.0], 7r3PVCS6mC, 6472312]
[paragraph, [175.0, 1243.0, 287.0, 36.0], 7r3PVCS6mC, 6472312]
[paragraph, [175.0, 1279.0, 287.0, 36.0], 7r3PVCS6mC, 6472312]
[paragraph, [175.0, 1315.0, 287.0, 36.0], 7r3PVCS6mC, 6472312]
[paragraph, [175.0, 1351.0, 287.0, 36.0], 7r3PVCS6mC, 6472312]
[paragraph, [175.0, 1387.0, 287.0, 36.0], 7r3PVCS6mC, 6472312]
[contact-info, [599.0, 1092.0, 171.0, 36.0], Cnb3QKCWpk, 6472312]
[paragraph, [803.0, 1099.0, 269.0, 36.0], NtL1TJUU5l, 6472312]
[paragraph, [803.0, 1147.0, 272.0, 36.0], pXFnSWluxO, 6472312]
[paragraph, [803.0, 1183.0, 272.0, 36.0], pXFnSWluxO, 6472312]
[paragraph, [803.0, 1219.0, 272.0, 36.0], pXFnSWluxO, 6472312]
[paragraph, [803.0, 1255.0, 272.0, 36.0], pXFnSWluxO, 6472312]
[paragraph, [803.0, 1291.0, 272.0, 36.0], pXFnSWluxO, 6472312]
[paragraph, [803.0, 1327.0, 272.0, 36.0], pXFnSWluxO, 6472312]
[paragraph, [803.0, 1363.0, 272.0, 36.0], pXFnSWluxO, 6472312]
[quote, [495.0, 1199.0, 123.0, 36.0], FZLxb-YuHq, 6472312]
