[2339, 1656]
[paragraph, [182.0, 188.0, 495.0, 36.0], 9saFIdaUEh, 5753046]
[paragraph, [182.0, 224.0, 495.0, 36.0], 9saFIdaUEh, 5753046]
[paragraph, [182.0, 260.0, 495.0, 36.0], 9saFIdaUEh, 5753046]
[paragraph, [182.0, 296.0, 495.0, 36.0], 9saFIdaUEh, 5753046]
[paragraph, [182.0, 332.0, 495.0, 36.0], 9saFIdaUEh, 5753046]
[paragraph, [182.0, 368.0, 495.0, 36.0], 9saFIdaUEh, 5753046]
[paragraph, [182.0, 404.0, 495.0, 36.0], 9saFIdaUEh, 5753046]
[paragraph, [182.0, 440.0, 495.0, 36.0], 9saFIdaUEh, 5753046]
[paragraph, [182.0, 476.0, 495.0, 36.0], 9saFIdaUEh, 5753046]
[paragraph, [182.0, 512.0, 495.0, 36.0], 9saFIdaUEh, 5753046]
[paragraph, [182.0, 548.0, 495.0, 36.0], 9saFIdaUEh, 5753046]
[paragraph, [186.0, 738.0, 518.0, 36.0], 4YTXHAviz8, 5753046]
[paragraph, [186.0, 774.0, 518.0, 36.0], 4YTXHAviz8, 5753046]
[paragraph, [186.0, 810.0, 518.0, 36.0], 4YTXHAviz8, 5753046]
[paragraph, [186.0, 846.0, 518.0, 36.0], 4YTXHAviz8, 5753046]
[paragraph, [186.0, 882.0, 518.0, 36.0], 4YTXHAviz8, 5753046]
[paragraph, [186.0, 918.0, 518.0, 36.0], 4YTXHAviz8, 5753046]
[paragraph, [186.0, 954.0, 518.0, 36.0], 4YTXHAviz8, 5753046]
[paragraph, [186.0, 990.0, 518.0, 36.0], 4YTXHAviz8, 5753046]
[paragraph, [186.0, 1026.0, 518.0, 36.0], 4YTXHAviz8, 5753046]
[paragraph, [186.0, 1062.0, 518.0, 36.0], 4YTXHAviz8, 5753046]
[paragraph, [186.0, 1098.0, 518.0, 36.0], 4YTXHAviz8, 5753046]
[paragraph, [188.0, 1260.0, 559.0, 36.0], SOSOhbKCyK, 5753046]
[paragraph, [188.0, 1296.0, 559.0, 36.0], SOSOhbKCyK, 5753046]
[paragraph, [188.0, 1332.0, 559.0, 36.0], SOSOhbKCyK, 5753046]
[paragraph, [188.0, 1368.0, 559.0, 36.0], SOSOhbKCyK, 5753046]
[paragraph, [188.0, 1404.0, 559.0, 36.0], SOSOhbKCyK, 5753046]
[paragraph, [188.0, 1440.0, 559.0, 36.0], SOSOhbKCyK, 5753046]
[paragraph, [188.0, 1476.0, 559.0, 36.0], SOSOhbKCyK, 5753046]
[paragraph, [188.0, 1512.0, 559.0, 36.0], SOSOhbKCyK, 5753046]
[paragraph, [188.0, 1548.0, 559.0, 36.0], SOSOhbKCyK, 5753046]
[paragraph, [188.0, 1584.0, 559.0, 36.0], SOSOhbKCyK, 5753046]
[paragraph, [188.0, 1620.0, 559.0, 36.0], SOSOhbKCyK, 5753046]
[paragraph, [188.0, 1656.0, 559.0, 36.0], SOSOhbKCyK, 5753046]
[paragraph, [188.0, 1692.0, 559.0, 36.0], SOSOhbKCyK, 5753046]
[paragraph, [188.0, 1728.0, 559.0, 36.0], SOSOhbKCyK, 5753046]
[paragraph, [184.0, 1924.0, 530.0, 36.0], _5onuCHDxG, 5753046]
[paragraph, [184.0, 1960.0, 530.0, 36.0], _5onuCHDxG, 5753046]
[paragraph, [184.0, 1996.0, 530.0, 36.0], _5onuCHDxG, 5753046]
[paragraph, [184.0, 2032.0, 530.0, 36.0], _5onuCHDxG, 5753046]
[folio, [82.0, 2183.0, 509.0, 36.0], yITPS0o86H, 5753046]
