[765, 463]
[paragraph, [155.0, 115.0, 257.0, 18.0], nx-QZkRJzS, 6533954]
[paragraph, [155.0, 133.0, 257.0, 18.0], nx-QZkRJzS, 6533954]
[paragraph, [155.0, 151.0, 257.0, 18.0], nx-QZkRJzS, 6533954]
[paragraph, [155.0, 169.0, 257.0, 18.0], nx-QZkRJzS, 6533954]
[paragraph, [155.0, 187.0, 257.0, 18.0], nx-QZkRJzS, 6533954]
[ordered-list, [107.0, 209.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 227.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 245.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 263.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 281.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 299.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 317.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 335.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 353.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 371.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 389.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 407.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 425.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 443.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 461.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 479.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 497.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 515.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 533.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
[ordered-list, [107.0, 551.0, 331.0, 18.0], Nv5_3QPbnr, 6533954]
