[3509, 2480]
[paragraph, [365.0, 547.0, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 599.5, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 652.0, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 704.5, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 757.0, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 809.5, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 862.0, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 914.5, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 967.0, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1019.5, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1072.0, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1124.5, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1177.0, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1229.5, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1282.0, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1334.5, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1387.0, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1439.5, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1492.0, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1544.5, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1597.0, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1649.5, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1702.0, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1754.5, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1807.0, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1859.5, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [365.0, 1912.0, 1740.0, 52.5], shoonya_1sRKNYJQBALDHU, 5724410]
[paragraph, [505.0, 2045.0, 1553.0, 52.5], yyDA4zJ0IY, 5724410]
[paragraph, [505.0, 2097.5, 1553.0, 52.5], yyDA4zJ0IY, 5724410]
[paragraph, [505.0, 2150.0, 1553.0, 52.5], yyDA4zJ0IY, 5724410]
[paragraph, [505.0, 2202.5, 1553.0, 52.5], yyDA4zJ0IY, 5724410]
[paragraph, [505.0, 2255.0, 1553.0, 52.5], yyDA4zJ0IY, 5724410]
[paragraph, [505.0, 2307.5, 1553.0, 52.5], yyDA4zJ0IY, 5724410]
[paragraph, [505.0, 2360.0, 1553.0, 52.5], yyDA4zJ0IY, 5724410]
[paragraph, [350.0, 2476.0, 1773.0, 52.5], vmSTWJjyiX, 5724410]
[paragraph, [350.0, 2528.5, 1773.0, 52.5], vmSTWJjyiX, 5724410]
[paragraph, [350.0, 2581.0, 1773.0, 52.5], vmSTWJjyiX, 5724410]
[paragraph, [350.0, 2633.5, 1773.0, 52.5], vmSTWJjyiX, 5724410]
[paragraph, [350.0, 2686.0, 1773.0, 52.5], vmSTWJjyiX, 5724410]
[paragraph, [350.0, 2738.5, 1773.0, 52.5], vmSTWJjyiX, 5724410]
[paragraph, [350.0, 2791.0, 1773.0, 52.5], vmSTWJjyiX, 5724410]
[paragraph, [350.0, 2843.5, 1773.0, 52.5], vmSTWJjyiX, 5724410]
[paragraph, [350.0, 2896.0, 1773.0, 52.5], vmSTWJjyiX, 5724410]
