[1372, 849]
[folio, [78.0, 67.0, 263.0, 18.0], Q9bKlWdNRx, 5709977]
[folio, [78.0, 85.0, 263.0, 18.0], Q9bKlWdNRx, 5709977]
[folio, [78.0, 103.0, 263.0, 18.0], Q9bKlWdNRx, 5709977]
[folio, [78.0, 121.0, 263.0, 18.0], Q9bKlWdNRx, 5709977]
[folio, [78.0, 139.0, 263.0, 18.0], Q9bKlWdNRx, 5709977]
[paragraph, [76.0, 190.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 208.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 226.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 244.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 262.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 280.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 298.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 316.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 334.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 352.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 370.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 388.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 406.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 424.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 442.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 460.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 478.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 496.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 514.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 532.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 550.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 568.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 586.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [76.0, 604.0, 716.0, 18.0], shoonya_0sTAO4YZ6AR9L2, 5709977]
[paragraph, [77.0, 642.0, 709.0, 18.0], shoonya_1sH55W39GLXGXA, 5709977]
[paragraph, [77.0, 660.0, 709.0, 18.0], shoonya_1sH55W39GLXGXA, 5709977]
[paragraph, [77.0, 678.0, 709.0, 18.0], shoonya_1sH55W39GLXGXA, 5709977]
[paragraph, [77.0, 696.0, 709.0, 18.0], shoonya_1sH55W39GLXGXA, 5709977]
[paragraph, [77.0, 714.0, 709.0, 18.0], shoonya_1sH55W39GLXGXA, 5709977]
