[596, 840]
[section-title, [467.0, 48.0, 275.0, 30.0], shoonya_13sXDZ4OV30DA3, 5780089]
[paragraph, [46.0, 68.0, 303.0, 18.0], shoonya_4s9Z6DSOIXGB1Y, 5780089]
[paragraph, [46.0, 86.0, 303.0, 18.0], shoonya_4s9Z6DSOIXGB1Y, 5780089]
[paragraph, [46.0, 104.0, 303.0, 18.0], shoonya_4s9Z6DSOIXGB1Y, 5780089]
[paragraph, [46.0, 122.0, 303.0, 18.0], shoonya_4s9Z6DSOIXGB1Y, 5780089]
[paragraph, [463.0, 123.0, 302.0, 18.0], shoonya_7sKHR2CEIR8EWH, 5780089]
[paragraph, [45.0, 151.0, 311.0, 18.0], shoonya_5sDN4HI8IORI8Y, 5780089]
[paragraph, [45.0, 169.0, 311.0, 18.0], shoonya_5sDN4HI8IORI8Y, 5780089]
[paragraph, [45.0, 187.0, 311.0, 18.0], shoonya_5sDN4HI8IORI8Y, 5780089]
[paragraph, [464.0, 163.0, 301.0, 18.0], shoonya_6sTJC3LX65778C, 5780089]
[paragraph, [464.0, 181.0, 301.0, 18.0], shoonya_6sTJC3LX65778C, 5780089]
[paragraph, [42.0, 219.0, 312.0, 18.0], shoonya_2s0ULD87XNGN5Q, 5780089]
[paragraph, [42.0, 237.0, 312.0, 18.0], shoonya_2s0ULD87XNGN5Q, 5780089]
[paragraph, [42.0, 255.0, 312.0, 18.0], shoonya_2s0ULD87XNGN5Q, 5780089]
[paragraph, [42.0, 273.0, 312.0, 18.0], shoonya_2s0ULD87XNGN5Q, 5780089]
[unordered-list, [466.0, 234.0, 319.0, 18.0], shoonya_3sD0H7G5JJ0DU8, 5780089]
[unordered-list, [466.0, 252.0, 319.0, 18.0], shoonya_3sD0H7G5JJ0DU8, 5780089]
[unordered-list, [466.0, 270.0, 319.0, 18.0], shoonya_3sD0H7G5JJ0DU8, 5780089]
[unordered-list, [466.0, 288.0, 319.0, 18.0], shoonya_3sD0H7G5JJ0DU8, 5780089]
[unordered-list, [466.0, 306.0, 319.0, 18.0], shoonya_3sD0H7G5JJ0DU8, 5780089]
[unordered-list, [466.0, 324.0, 319.0, 18.0], shoonya_3sD0H7G5JJ0DU8, 5780089]
[unordered-list, [466.0, 342.0, 319.0, 18.0], shoonya_3sD0H7G5JJ0DU8, 5780089]
[unordered-list, [466.0, 360.0, 319.0, 18.0], shoonya_3sD0H7G5JJ0DU8, 5780089]
[unordered-list, [466.0, 378.0, 319.0, 18.0], shoonya_3sD0H7G5JJ0DU8, 5780089]
[unordered-list, [466.0, 396.0, 319.0, 18.0], shoonya_3sD0H7G5JJ0DU8, 5780089]
[unordered-list, [466.0, 414.0, 319.0, 18.0], shoonya_3sD0H7G5JJ0DU8, 5780089]
[unordered-list, [466.0, 432.0, 319.0, 18.0], shoonya_3sD0H7G5JJ0DU8, 5780089]
[unordered-list, [466.0, 450.0, 319.0, 18.0], shoonya_3sD0H7G5JJ0DU8, 5780089]
[unordered-list, [466.0, 468.0, 319.0, 18.0], shoonya_3sD0H7G5JJ0DU8, 5780089]
[paragraph, [44.0, 302.0, 322.0, 18.0], shoonya_1sXD2DDLESGI7J, 5780089]
[paragraph, [44.0, 320.0, 322.0, 18.0], shoonya_1sXD2DDLESGI7J, 5780089]
[paragraph, [44.0, 338.0, 322.0, 18.0], shoonya_1sXD2DDLESGI7J, 5780089]
[paragraph, [44.0, 356.0, 322.0, 18.0], shoonya_1sXD2DDLESGI7J, 5780089]
[paragraph, [43.0, 385.0, 312.0, 18.0], shoonya_0sG1NZSPV766NX, 5780089]
[paragraph, [43.0, 403.0, 312.0, 18.0], shoonya_0sG1NZSPV766NX, 5780089]
[paragraph, [43.0, 421.0, 312.0, 18.0], shoonya_0sG1NZSPV766NX, 5780089]
[paragraph, [43.0, 439.0, 312.0, 18.0], shoonya_0sG1NZSPV766NX, 5780089]
[paragraph, [43.0, 457.0, 312.0, 18.0], shoonya_0sG1NZSPV766NX, 5780089]
[paragraph, [466.0, 498.0, 308.0, 18.0], shoonya_11sBLZ3Y0LD9DX, 5780089]
[website-link, [50.0, 555.0, 84.0, 18.0], lj0GrZSoAk, 5780089]
