[672, 432]
[folio, [153.0, 54.0, 89.0, 18.0], NICDxhbgAT, 6464593]
[paragraph, [33.0, 91.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 109.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 127.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 145.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 163.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 181.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 199.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 217.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 235.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 253.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 271.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 289.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 307.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 325.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 343.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 361.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 379.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 397.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 415.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 433.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [33.0, 451.0, 330.0, 18.0], 1pQ8gZfp2J, 6464593]
[paragraph, [57.0, 468.0, 303.0, 18.0], gGL3roc_Iw, 6464593]
[paragraph, [40.0, 489.0, 323.0, 18.0], egHBOtanmA, 6464593]
[paragraph, [40.0, 507.0, 323.0, 18.0], egHBOtanmA, 6464593]
[paragraph, [40.0, 525.0, 323.0, 18.0], egHBOtanmA, 6464593]
[paragraph, [40.0, 543.0, 323.0, 18.0], egHBOtanmA, 6464593]
[footnote, [92.0, 644.0, 246.0, 18.0], M3LNKA35Io, 6464593]
