[1050, 693]
[folio, [520.0, 76.0, 88.0, 18.0], shoonya_2sXBQX0WM3SZHQ, 5702569]
[folio, [520.0, 94.0, 88.0, 18.0], shoonya_2sXBQX0WM3SZHQ, 5702569]
[paragraph, [81.0, 122.0, 532.0, 18.0], shoonya_1s9LF0I3Z70TH3, 5702569]
[paragraph, [81.0, 140.0, 532.0, 18.0], shoonya_1s9LF0I3Z70TH3, 5702569]
[paragraph, [81.0, 158.0, 532.0, 18.0], shoonya_1s9LF0I3Z70TH3, 5702569]
[paragraph, [81.0, 176.0, 532.0, 18.0], shoonya_1s9LF0I3Z70TH3, 5702569]
[paragraph, [82.0, 211.0, 528.0, 18.0], RAUOdaIuy6, 5702569]
[paragraph, [82.0, 229.0, 528.0, 18.0], RAUOdaIuy6, 5702569]
[paragraph, [82.0, 247.0, 528.0, 18.0], RAUOdaIuy6, 5702569]
[paragraph, [82.0, 265.0, 528.0, 18.0], RAUOdaIuy6, 5702569]
[paragraph, [82.0, 283.0, 528.0, 18.0], RAUOdaIuy6, 5702569]
[paragraph, [81.0, 311.0, 530.0, 18.0], sO07pHtj2X, 5702569]
[paragraph, [81.0, 329.0, 530.0, 18.0], sO07pHtj2X, 5702569]
[paragraph, [81.0, 347.0, 530.0, 18.0], sO07pHtj2X, 5702569]
[paragraph, [81.0, 365.0, 530.0, 18.0], sO07pHtj2X, 5702569]
[paragraph, [81.0, 383.0, 530.0, 18.0], sO07pHtj2X, 5702569]
[paragraph, [81.0, 401.0, 530.0, 18.0], sO07pHtj2X, 5702569]
[paragraph, [80.0, 440.0, 527.0, 18.0], g9UhF6vJwS, 5702569]
[paragraph, [80.0, 458.0, 527.0, 18.0], g9UhF6vJwS, 5702569]
[paragraph, [80.0, 476.0, 527.0, 18.0], g9UhF6vJwS, 5702569]
[paragraph, [84.0, 501.0, 528.0, 18.0], xRD-asJCrK, 5702569]
[paragraph, [84.0, 519.0, 528.0, 18.0], xRD-asJCrK, 5702569]
[paragraph, [84.0, 537.0, 528.0, 18.0], xRD-asJCrK, 5702569]
[paragraph, [84.0, 555.0, 528.0, 18.0], xRD-asJCrK, 5702569]
[paragraph, [84.0, 573.0, 528.0, 18.0], xRD-asJCrK, 5702569]
[paragraph, [84.0, 591.0, 528.0, 18.0], xRD-asJCrK, 5702569]
[paragraph, [84.0, 609.0, 528.0, 18.0], xRD-asJCrK, 5702569]
[paragraph, [84.0, 627.0, 528.0, 18.0], xRD-asJCrK, 5702569]
[paragraph, [84.0, 645.0, 528.0, 18.0], xRD-asJCrK, 5702569]
[paragraph, [84.0, 663.0, 528.0, 18.0], xRD-asJCrK, 5702569]
[paragraph, [84.0, 681.0, 528.0, 18.0], xRD-asJCrK, 5702569]
[paragraph, [83.0, 725.0, 531.0, 18.0], shoonya_0sOPVMSUVQB3KV, 5702569]
[paragraph, [83.0, 743.0, 531.0, 18.0], shoonya_0sOPVMSUVQB3KV, 5702569]
[paragraph, [83.0, 761.0, 531.0, 18.0], shoonya_0sOPVMSUVQB3KV, 5702569]
[paragraph, [83.0, 779.0, 531.0, 18.0], shoonya_0sOPVMSUVQB3KV, 5702569]
[paragraph, [83.0, 797.0, 531.0, 18.0], shoonya_0sOPVMSUVQB3KV, 5702569]
[paragraph, [83.0, 815.0, 531.0, 18.0], shoonya_0sOPVMSUVQB3KV, 5702569]
[paragraph, [83.0, 833.0, 531.0, 18.0], shoonya_0sOPVMSUVQB3KV, 5702569]
[paragraph, [83.0, 851.0, 531.0, 18.0], shoonya_0sOPVMSUVQB3KV, 5702569]
[paragraph, [83.0, 869.0, 531.0, 18.0], shoonya_0sOPVMSUVQB3KV, 5702569]
[paragraph, [83.0, 887.0, 531.0, 18.0], shoonya_0sOPVMSUVQB3KV, 5702569]
[paragraph, [83.0, 905.0, 531.0, 18.0], shoonya_0sOPVMSUVQB3KV, 5702569]
[paragraph, [83.0, 923.0, 531.0, 18.0], shoonya_0sOPVMSUVQB3KV, 5702569]
[paragraph, [83.0, 941.0, 531.0, 18.0], shoonya_0sOPVMSUVQB3KV, 5702569]
