[681, 511]
[folio, [317.0, 29.0, 129.0, 18.0], shoonya_4s35TUJ6DCZ8V7, 5761606]
[paragraph, [28.0, 54.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [28.0, 72.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [28.0, 90.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [28.0, 108.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [28.0, 126.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [28.0, 144.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [28.0, 162.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [28.0, 180.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [28.0, 198.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [28.0, 216.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [28.0, 234.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [28.0, 252.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [28.0, 270.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [28.0, 288.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [28.0, 306.0, 224.0, 18.0], shoonya_0s8XRNUJWA7KKJ, 5761606]
[paragraph, [256.0, 56.0, 224.0, 18.0], IqrBN4mL2N, 5761606]
[paragraph, [256.0, 74.0, 224.0, 18.0], IqrBN4mL2N, 5761606]
[paragraph, [256.0, 92.0, 224.0, 18.0], IqrBN4mL2N, 5761606]
[paragraph, [256.0, 110.0, 224.0, 18.0], IqrBN4mL2N, 5761606]
[paragraph, [256.0, 128.0, 224.0, 18.0], IqrBN4mL2N, 5761606]
[paragraph, [258.0, 164.0, 223.0, 18.0], shoonya_1s5QOH0ZEWZNA1, 5761606]
[paragraph, [258.0, 182.0, 223.0, 18.0], shoonya_1s5QOH0ZEWZNA1, 5761606]
[paragraph, [258.0, 200.0, 223.0, 18.0], shoonya_1s5QOH0ZEWZNA1, 5761606]
[paragraph, [258.0, 218.0, 223.0, 18.0], shoonya_1s5QOH0ZEWZNA1, 5761606]
[paragraph, [258.0, 236.0, 223.0, 18.0], shoonya_1s5QOH0ZEWZNA1, 5761606]
[paragraph, [258.0, 254.0, 223.0, 18.0], shoonya_1s5QOH0ZEWZNA1, 5761606]
[paragraph, [258.0, 272.0, 223.0, 18.0], shoonya_1s5QOH0ZEWZNA1, 5761606]
[paragraph, [257.0, 294.0, 222.0, 18.0], zgWpoHkJMk, 5761606]
[paragraph, [257.0, 312.0, 222.0, 18.0], zgWpoHkJMk, 5761606]
[paragraph, [257.0, 330.0, 222.0, 18.0], zgWpoHkJMk, 5761606]
[paragraph, [257.0, 348.0, 222.0, 18.0], zgWpoHkJMk, 5761606]
[paragraph, [257.0, 366.0, 222.0, 18.0], zgWpoHkJMk, 5761606]
[paragraph, [257.0, 384.0, 222.0, 18.0], zgWpoHkJMk, 5761606]
[paragraph, [257.0, 402.0, 222.0, 18.0], zgWpoHkJMk, 5761606]
[paragraph, [257.0, 420.0, 222.0, 18.0], zgWpoHkJMk, 5761606]
[paragraph, [257.0, 438.0, 222.0, 18.0], zgWpoHkJMk, 5761606]
[paragraph, [257.0, 456.0, 222.0, 18.0], zgWpoHkJMk, 5761606]
[paragraph, [28.0, 327.0, 224.0, 18.0], shoonya_2sRI2JI4U39UTT, 5761606]
[paragraph, [28.0, 345.0, 224.0, 18.0], shoonya_2sRI2JI4U39UTT, 5761606]
[paragraph, [28.0, 363.0, 224.0, 18.0], shoonya_2sRI2JI4U39UTT, 5761606]
[paragraph, [28.0, 381.0, 224.0, 18.0], shoonya_2sRI2JI4U39UTT, 5761606]
[paragraph, [28.0, 399.0, 224.0, 18.0], shoonya_2sRI2JI4U39UTT, 5761606]
[paragraph, [28.0, 417.0, 224.0, 18.0], shoonya_2sRI2JI4U39UTT, 5761606]
[paragraph, [28.0, 435.0, 224.0, 18.0], shoonya_2sRI2JI4U39UTT, 5761606]
[paragraph, [28.0, 453.0, 224.0, 18.0], shoonya_2sRI2JI4U39UTT, 5761606]
[paragraph, [29.0, 471.0, 221.0, 18.0], -BIIr-Zh6y, 5761606]
[paragraph, [29.0, 489.0, 221.0, 18.0], -BIIr-Zh6y, 5761606]
