[1347, 847]
[paragraph, [21.0, 38.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 56.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 74.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 92.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 110.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 128.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 146.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 164.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 182.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 200.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 218.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 236.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 254.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 272.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 290.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 308.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 326.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 344.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 362.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 380.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 398.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 416.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 434.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 452.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 470.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 488.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 506.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [21.0, 524.0, 786.0, 18.0], VPk4km38Ao, 5660894]
[paragraph, [16.0, 550.0, 793.0, 18.0], Jy9TmeEPfK, 5660894]
[paragraph, [16.0, 568.0, 793.0, 18.0], Jy9TmeEPfK, 5660894]
[paragraph, [16.0, 586.0, 793.0, 18.0], Jy9TmeEPfK, 5660894]
[paragraph, [16.0, 604.0, 793.0, 18.0], Jy9TmeEPfK, 5660894]
[paragraph, [16.0, 622.0, 793.0, 18.0], Jy9TmeEPfK, 5660894]
[paragraph, [16.0, 640.0, 793.0, 18.0], Jy9TmeEPfK, 5660894]
[paragraph, [16.0, 658.0, 793.0, 18.0], Jy9TmeEPfK, 5660894]
[paragraph, [16.0, 676.0, 793.0, 18.0], Jy9TmeEPfK, 5660894]
[paragraph, [16.0, 694.0, 793.0, 18.0], Jy9TmeEPfK, 5660894]
[paragraph, [16.0, 712.0, 793.0, 18.0], Jy9TmeEPfK, 5660894]
[paragraph, [16.0, 730.0, 793.0, 18.0], Jy9TmeEPfK, 5660894]
[paragraph, [16.0, 748.0, 793.0, 18.0], Jy9TmeEPfK, 5660894]
