[1320, 1176]
[folio, [949.0, 63.0, 155.0, 18.0], Rt3pq2Xxc9, 5694591]
[folio, [949.0, 81.0, 155.0, 18.0], Rt3pq2Xxc9, 5694591]
[folio, [949.0, 99.0, 155.0, 18.0], Rt3pq2Xxc9, 5694591]
[folio, [949.0, 117.0, 155.0, 18.0], Rt3pq2Xxc9, 5694591]
[folio, [949.0, 135.0, 155.0, 18.0], Rt3pq2Xxc9, 5694591]
[paragraph, [769.0, 182.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 200.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 218.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 236.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 254.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 272.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 290.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 308.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 326.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 344.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 362.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 380.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 398.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 416.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 434.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 452.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
[paragraph, [769.0, 470.0, 337.0, 18.0], shoonya_0sFX3N9ABMHBN0, 5694591]
