[1650, 1275]
[quote, [261.0, 181.0, 790.0, 36.0], vqZVfMaork, 5713960]
[quote, [261.0, 217.0, 790.0, 36.0], vqZVfMaork, 5713960]
[quote, [261.0, 253.0, 790.0, 36.0], vqZVfMaork, 5713960]
[paragraph, [249.0, 319.0, 855.0, 36.0], shoonya_0sNRXOE9942YGB, 5713960]
[paragraph, [249.0, 355.0, 855.0, 36.0], shoonya_0sNRXOE9942YGB, 5713960]
[paragraph, [249.0, 391.0, 855.0, 36.0], shoonya_0sNRXOE9942YGB, 5713960]
[paragraph, [249.0, 427.0, 855.0, 36.0], shoonya_0sNRXOE9942YGB, 5713960]
[paragraph, [249.0, 463.0, 855.0, 36.0], shoonya_0sNRXOE9942YGB, 5713960]
[paragraph, [249.0, 499.0, 855.0, 36.0], shoonya_0sNRXOE9942YGB, 5713960]
[paragraph, [249.0, 535.0, 855.0, 36.0], shoonya_0sNRXOE9942YGB, 5713960]
[paragraph, [249.0, 571.0, 855.0, 36.0], shoonya_0sNRXOE9942YGB, 5713960]
[paragraph, [249.0, 607.0, 855.0, 36.0], shoonya_0sNRXOE9942YGB, 5713960]
[paragraph, [249.0, 643.0, 855.0, 36.0], shoonya_0sNRXOE9942YGB, 5713960]
[paragraph, [249.0, 679.0, 855.0, 36.0], shoonya_0sNRXOE9942YGB, 5713960]
[paragraph, [249.0, 715.0, 855.0, 36.0], shoonya_0sNRXOE9942YGB, 5713960]
[paragraph, [251.0, 792.0, 863.0, 36.0], gXNnrW0heZ, 5713960]
[paragraph, [251.0, 828.0, 863.0, 36.0], gXNnrW0heZ, 5713960]
[paragraph, [251.0, 864.0, 863.0, 36.0], gXNnrW0heZ, 5713960]
[paragraph, [251.0, 900.0, 863.0, 36.0], gXNnrW0heZ, 5713960]
[paragraph, [251.0, 936.0, 863.0, 36.0], gXNnrW0heZ, 5713960]
[paragraph, [251.0, 972.0, 863.0, 36.0], gXNnrW0heZ, 5713960]
[paragraph, [251.0, 1008.0, 863.0, 36.0], gXNnrW0heZ, 5713960]
[paragraph, [251.0, 1044.0, 863.0, 36.0], gXNnrW0heZ, 5713960]
[paragraph, [251.0, 1080.0, 863.0, 36.0], gXNnrW0heZ, 5713960]
[paragraph, [251.0, 1116.0, 863.0, 36.0], gXNnrW0heZ, 5713960]
[paragraph, [251.0, 1152.0, 863.0, 36.0], gXNnrW0heZ, 5713960]
[paragraph, [255.0, 1214.0, 865.0, 36.0], w59x3dR3-D, 5713960]
[paragraph, [255.0, 1250.0, 865.0, 36.0], w59x3dR3-D, 5713960]
[paragraph, [255.0, 1286.0, 865.0, 36.0], w59x3dR3-D, 5713960]
[paragraph, [255.0, 1322.0, 865.0, 36.0], w59x3dR3-D, 5713960]
[paragraph, [255.0, 1358.0, 865.0, 36.0], w59x3dR3-D, 5713960]
[paragraph, [255.0, 1394.0, 865.0, 36.0], w59x3dR3-D, 5713960]
