[1565, 1152]
[paragraph, [422.0, 603.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 639.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 675.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 711.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 747.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 783.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 819.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 855.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 891.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 927.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 963.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 999.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 1035.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 1071.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 1107.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 1143.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 1179.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 1215.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 1251.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [422.0, 1287.0, 309.0, 36.0], shoonya_2s2ZFTKQR9PRUC, 5713099]
[paragraph, [95.0, 605.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 641.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 677.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 713.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 749.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 785.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 821.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 857.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 893.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 929.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 965.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 1001.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 1037.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 1073.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 1109.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 1145.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 1181.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 1217.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 1253.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [95.0, 1289.0, 326.0, 36.0], shoonya_0s6J2G34HR0DF3, 5713099]
[paragraph, [731.0, 608.0, 313.0, 36.0], shoonya_4sEFUH8218HLO6, 5713099]
[paragraph, [731.0, 644.0, 313.0, 36.0], shoonya_4sEFUH8218HLO6, 5713099]
[paragraph, [731.0, 680.0, 313.0, 36.0], shoonya_4sEFUH8218HLO6, 5713099]
[paragraph, [731.0, 716.0, 313.0, 36.0], shoonya_4sEFUH8218HLO6, 5713099]
[paragraph, [731.0, 752.0, 313.0, 36.0], shoonya_4sEFUH8218HLO6, 5713099]
[paragraph, [731.0, 788.0, 313.0, 36.0], shoonya_4sEFUH8218HLO6, 5713099]
[paragraph, [733.0, 834.0, 309.0, 36.0], shoonya_5sI8IPBOTLSSRS, 5713099]
[paragraph, [733.0, 870.0, 309.0, 36.0], shoonya_5sI8IPBOTLSSRS, 5713099]
[paragraph, [733.0, 906.0, 309.0, 36.0], shoonya_5sI8IPBOTLSSRS, 5713099]
[paragraph, [733.0, 942.0, 309.0, 36.0], shoonya_5sI8IPBOTLSSRS, 5713099]
[paragraph, [733.0, 978.0, 309.0, 36.0], shoonya_5sI8IPBOTLSSRS, 5713099]
[paragraph, [733.0, 1014.0, 309.0, 36.0], shoonya_5sI8IPBOTLSSRS, 5713099]
[paragraph, [733.0, 1050.0, 309.0, 36.0], shoonya_5sI8IPBOTLSSRS, 5713099]
[paragraph, [733.0, 1086.0, 309.0, 36.0], shoonya_5sI8IPBOTLSSRS, 5713099]
[paragraph, [733.0, 1122.0, 309.0, 36.0], shoonya_5sI8IPBOTLSSRS, 5713099]
[paragraph, [733.0, 1158.0, 309.0, 36.0], shoonya_5sI8IPBOTLSSRS, 5713099]
[paragraph, [733.0, 1194.0, 309.0, 36.0], shoonya_5sI8IPBOTLSSRS, 5713099]
[paragraph, [733.0, 1230.0, 309.0, 36.0], shoonya_5sI8IPBOTLSSRS, 5713099]
[paragraph, [733.0, 1266.0, 309.0, 36.0], shoonya_5sI8IPBOTLSSRS, 5713099]
[paragraph, [733.0, 1302.0, 309.0, 36.0], shoonya_5sI8IPBOTLSSRS, 5713099]
[paragraph, [426.0, 1325.0, 309.0, 36.0], shoonya_3sCK3E1ZD4RNDM, 5713099]
[paragraph, [426.0, 1361.0, 309.0, 36.0], shoonya_3sCK3E1ZD4RNDM, 5713099]
[paragraph, [426.0, 1397.0, 309.0, 36.0], shoonya_3sCK3E1ZD4RNDM, 5713099]
[paragraph, [93.0, 1351.0, 329.0, 36.0], shoonya_1sXUGWN003ZVHT, 5713099]
[paragraph, [93.0, 1387.0, 329.0, 36.0], shoonya_1sXUGWN003ZVHT, 5713099]
[paragraph, [737.0, 1359.0, 308.0, 36.0], shoonya_6sRREWWXJU6Q8K, 5713099]
[folio, [888.0, 1447.0, 159.0, 36.0], h9vFCZ-gNY, 5713099]
