[1948, 1214]
[paragraph, [104.0, 201.0, 963.0, 36.0], bKdn6TO9mh, 5732424]
[paragraph, [104.0, 237.0, 963.0, 36.0], bKdn6TO9mh, 5732424]
[paragraph, [104.0, 273.0, 963.0, 36.0], bKdn6TO9mh, 5732424]
[paragraph, [104.0, 309.0, 963.0, 36.0], bKdn6TO9mh, 5732424]
[paragraph, [105.0, 384.0, 959.0, 36.0], shoonya_3s2W6SF6DHG4NJ, 5732424]
[paragraph, [105.0, 420.0, 959.0, 36.0], shoonya_3s2W6SF6DHG4NJ, 5732424]
[paragraph, [105.0, 456.0, 959.0, 36.0], shoonya_3s2W6SF6DHG4NJ, 5732424]
[paragraph, [101.0, 524.0, 955.0, 36.0], shoonya_0sJ7Q9XD13LH57, 5732424]
[paragraph, [101.0, 560.0, 955.0, 36.0], shoonya_0sJ7Q9XD13LH57, 5732424]
[paragraph, [101.0, 596.0, 955.0, 36.0], shoonya_0sJ7Q9XD13LH57, 5732424]
[paragraph, [101.0, 632.0, 955.0, 36.0], shoonya_0sJ7Q9XD13LH57, 5732424]
[paragraph, [101.0, 668.0, 955.0, 36.0], shoonya_0sJ7Q9XD13LH57, 5732424]
[paragraph, [101.0, 704.0, 955.0, 36.0], shoonya_0sJ7Q9XD13LH57, 5732424]
[paragraph, [101.0, 740.0, 955.0, 36.0], shoonya_0sJ7Q9XD13LH57, 5732424]
[paragraph, [101.0, 776.0, 955.0, 36.0], shoonya_0sJ7Q9XD13LH57, 5732424]
[paragraph, [101.0, 812.0, 955.0, 36.0], shoonya_0sJ7Q9XD13LH57, 5732424]
[paragraph, [101.0, 848.0, 955.0, 36.0], shoonya_0sJ7Q9XD13LH57, 5732424]
[paragraph, [301.0, 924.0, 749.0, 36.0], shoonya_6s9RBUY5N1FHZK, 5732424]
[paragraph, [301.0, 960.0, 749.0, 36.0], shoonya_6s9RBUY5N1FHZK, 5732424]
[paragraph, [109.0, 1028.0, 947.0, 36.0], shoonya_4sGFUJCKDRF9LY, 5732424]
[paragraph, [109.0, 1064.0, 947.0, 36.0], shoonya_4sGFUJCKDRF9LY, 5732424]
[paragraph, [108.0, 1123.0, 950.0, 36.0], shoonya_1sZ8M1D939AEO3, 5732424]
[paragraph, [108.0, 1159.0, 950.0, 36.0], shoonya_1sZ8M1D939AEO3, 5732424]
[paragraph, [108.0, 1195.0, 950.0, 36.0], shoonya_1sZ8M1D939AEO3, 5732424]
[paragraph, [108.0, 1231.0, 950.0, 36.0], shoonya_1sZ8M1D939AEO3, 5732424]
[paragraph, [108.0, 1267.0, 950.0, 36.0], shoonya_1sZ8M1D939AEO3, 5732424]
[paragraph, [108.0, 1303.0, 950.0, 36.0], shoonya_1sZ8M1D939AEO3, 5732424]
[paragraph, [108.0, 1339.0, 950.0, 36.0], shoonya_1sZ8M1D939AEO3, 5732424]
[paragraph, [108.0, 1375.0, 950.0, 36.0], shoonya_1sZ8M1D939AEO3, 5732424]
[paragraph, [108.0, 1411.0, 950.0, 36.0], shoonya_1sZ8M1D939AEO3, 5732424]
[paragraph, [108.0, 1447.0, 950.0, 36.0], shoonya_1sZ8M1D939AEO3, 5732424]
[paragraph, [108.0, 1483.0, 950.0, 36.0], shoonya_1sZ8M1D939AEO3, 5732424]
[paragraph, [108.0, 1519.0, 950.0, 36.0], shoonya_1sZ8M1D939AEO3, 5732424]
[paragraph, [111.0, 1561.0, 944.0, 36.0], shoonya_2sCUDTO8TXE3O8, 5732424]
[paragraph, [111.0, 1597.0, 944.0, 36.0], shoonya_2sCUDTO8TXE3O8, 5732424]
[paragraph, [111.0, 1633.0, 944.0, 36.0], shoonya_2sCUDTO8TXE3O8, 5732424]
[paragraph, [111.0, 1669.0, 944.0, 36.0], shoonya_2sCUDTO8TXE3O8, 5732424]
[paragraph, [111.0, 1705.0, 944.0, 36.0], shoonya_2sCUDTO8TXE3O8, 5732424]
[paragraph, [111.0, 1741.0, 944.0, 36.0], shoonya_2sCUDTO8TXE3O8, 5732424]
[paragraph, [111.0, 1777.0, 944.0, 36.0], shoonya_2sCUDTO8TXE3O8, 5732424]
[folio, [513.0, 1848.0, 187.0, 36.0], shoonya_7sK7FGICP4E08I, 5732424]
